,top1,fps-comp,NN_Topology,type,HWType,hardw_datatype_net_prun,hw_peak_perf,nn_total_operations,pairs,color
125,73.30,703.3639143999999,ResNet-50,predicted,ZCU104-DPU,zcu104-dpu_int8_resnet-50_80,,,False,predicted_no_match
51,69.57,168.4210526,MobileNetv1,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_mobilenetv1_100,,,False,predicted_no_match
161,68.83,1877.5510199999999,ResNet-50,predicted,ZCU104-DPU,zcu104-dpu_int8_resnet-50_30,,,False,predicted_no_match
105,80.2,9.907120743,EfficientNet-L,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_efficientnet-l_100,,,False,predicted_no_match
87,78.6,25.94594595,EfficientNet-M,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_efficientnet-m_100,,,False,predicted_no_match
69,77,40.85106383,EfficientNet-S,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_efficientnet-s_100,,,False,predicted_no_match
33,69.24,61.34185304,GoogLeNetv1,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_googlenetv1_100,,,False,predicted_no_match
17,69.24,1469.6485619999999,GoogLeNetv1,predicted,ZCU104-DPU,zcu104-dpu_int8_googlenetv1_100,,,False,predicted_no_match
71,78.6,621.6216216,EfficientNet-M,predicted,ZCU104-DPU,zcu104-dpu_int8_efficientnet-m_100,,,False,predicted_no_match
89,80.2,237.3581011,EfficientNet-L,predicted,ZCU104-DPU,zcu104-dpu_int8_efficientnet-l_100,,,False,predicted_no_match
119,73.29,518.134715,ResNet-50,predicted,EdgeTPU-fast,edgetpu-fast_int8_resnet-50_100,,,False,predicted_no_match
126,73.30,797.5045872000001,ResNet-50,predicted,ZCU102-DPU,zcu102-dpu_int8_resnet-50_80,,,False,predicted_no_match
144,69.49,1215.7952,ResNet-50,predicted,ZCU102-DPU,zcu102-dpu_int8_resnet-50_50,,,False,predicted_no_match
162,68.83,1900.7216329999999,ResNet-50,predicted,ZCU102-DPU,zcu102-dpu_int8_resnet-50_30,,,False,predicted_no_match
53,77,978.7234043,EfficientNet-S,predicted,ZCU104-DPU,zcu104-dpu_int8_efficientnet-s_100,,,False,predicted_no_match
177,68.83,78.36734694,ResNet-50,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_resnet-50_30,,,False,predicted_no_match
123,73.29,24.87046632,ResNet-50,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_resnet-50_100,,,False,predicted_no_match
70,78.6,129.7297297,EfficientNet-M,predicted,Ultra96-DPU,ultra96-dpu_int8_efficientnet-m_100,,,False,predicted_no_match
88,80.2,49.53560372,EfficientNet-L,predicted,Ultra96-DPU,ultra96-dpu_int8_efficientnet-l_100,,,False,predicted_no_match
31,69.24,319.48881789999996,GoogLeNetv1,predicted,NCS,ncs_int8_googlenetv1_100,,,False,predicted_no_match
141,73.30,29.35779817,ResNet-50,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_resnet-50_80,,,False,predicted_no_match
143,69.49,1215.7952,ResNet-50,predicted,ZCU104-DPU,zcu104-dpu_int8_resnet-50_50,,,False,predicted_no_match
52,77,204.25531909999998,EfficientNet-S,predicted,Ultra96-DPU,ultra96-dpu_int8_efficientnet-s_100,,,False,predicted_no_match
120,73.29,259.0673575,ResNet-50,predicted,EdgeTPU-slow,edgetpu-slow_int8_resnet-50_100,,,False,predicted_no_match
90,80.2,346.23323010000007,EfficientNet-L,predicted,ZCU102-DPU,zcu102-dpu_int8_efficientnet-l_100,,,False,predicted_no_match
72,78.6,906.7567568,EfficientNet-M,predicted,ZCU102-DPU,zcu102-dpu_int8_efficientnet-m_100,,,False,predicted_no_match
54,77,1427.659574,EfficientNet-S,predicted,ZCU102-DPU,zcu102-dpu_int8_efficientnet-s_100,,,False,predicted_no_match
159,69.49,51.2,ResNet-50,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_resnet-50_50,,,False,predicted_no_match
194,66.93,159.74440890000002,GoogLeNetv1,predicted,NCS,ncs_fp16_googlenetv1_100,,,False,predicted_no_match
19,66.928,187.846,GoogLeNetv1,measured,TX2-maxq,tx2-maxq_fp16_googlenetv1_100,0.87,3.1,True,tx2-maxq_fp16_googlenetv1_100
207,75.14,112.69430049999998,ResNet-50,predicted,TX2-maxq,tx2-maxq_fp16_resnet-50_100,,,True,tx2-maxq_fp16_resnet-50_100
20,75.142,89.3786,ResNet-50,measured,TX2-maxq,tx2-maxq_fp16_resnet-50_100,0.87,7.7,True,tx2-maxq_fp16_resnet-50_100
185,66.93,424.9201278,GoogLeNetv1,predicted,TX2-maxn,tx2-maxn_fp16_googlenetv1_100,,,True,tx2-maxn_fp16_googlenetv1_100
212,75.14,64.76683938,ResNet-50,predicted,NCS,ncs_fp16_resnet-50_100,,,True,ncs_fp16_resnet-50_100
10,75.172,18.2716,ResNet-50,measured,NCS,ncs_fp16_resnet-50_100,0.5,7.7,True,ncs_fp16_resnet-50_100
1,78.975272,111.113,EfficientNet-M,measured,EdgeTPU-fast,edgetpu-fast_int8_efficientnet-m_100,4.0,7.4,True,edgetpu-fast_int8_efficientnet-m_100
101,80.2,206.3983488,EfficientNet-L,predicted,EdgeTPU-fast,edgetpu-fast_int8_efficientnet-l_100,,,True,edgetpu-fast_int8_efficientnet-l_100
83,78.6,540.5405405,EfficientNet-M,predicted,EdgeTPU-fast,edgetpu-fast_int8_efficientnet-m_100,,,True,edgetpu-fast_int8_efficientnet-m_100
65,77,851.0638298,EfficientNet-S,predicted,EdgeTPU-fast,edgetpu-fast_int8_efficientnet-s_100,,,True,edgetpu-fast_int8_efficientnet-s_100
2,77.622837,200.148,EfficientNet-S,measured,EdgeTPU-fast,edgetpu-fast_int8_efficientnet-s_100,4.0,4.7,True,edgetpu-fast_int8_efficientnet-s_100
29,69.24,1277.9552720000002,GoogLeNetv1,predicted,EdgeTPU-fast,edgetpu-fast_int8_googlenetv1_100,,,True,edgetpu-fast_int8_googlenetv1_100
4,69.5674,389.034,MobileNetv1,measured,EdgeTPU-fast,edgetpu-fast_int8_mobilenetv1_100,4.0,1.1,True,edgetpu-fast_int8_mobilenetv1_100
189,66.93,277.9552716,GoogLeNetv1,predicted,TX2-maxq,tx2-maxq_fp16_googlenetv1_100,,,True,tx2-maxq_fp16_googlenetv1_100
11,66.928,276.264,GoogLeNetv1,measured,TX2-maxn,tx2-maxn_fp16_googlenetv1_100,1.33,3.1,True,tx2-maxn_fp16_googlenetv1_100
250,75.15,73.83419689,ResNet-50,predicted,TX2-maxp,tx2-maxp_fp32_resnet-50_100,,,True,tx2-maxp_fp32_resnet-50_100
232,66.96,182.10862619999997,GoogLeNetv1,predicted,TX2-maxp,tx2-maxp_fp32_googlenetv1_100,,,True,tx2-maxp_fp32_googlenetv1_100
17,66.956,136.319,GoogLeNetv1,measured,TX2-maxp,tx2-maxp_fp32_googlenetv1_100,0.57,3.1,True,tx2-maxp_fp32_googlenetv1_100
205,75.14,148.9637306,ResNet-50,predicted,TX2-maxp,tx2-maxp_fp16_resnet-50_100,,,True,tx2-maxp_fp16_resnet-50_100
16,75.142,114.033,ResNet-50,measured,TX2-maxp,tx2-maxp_fp16_resnet-50_100,1.15,7.7,True,tx2-maxp_fp16_resnet-50_100
187,66.93,367.41214060000004,GoogLeNetv1,predicted,TX2-maxp,tx2-maxp_fp16_googlenetv1_100,,,True,tx2-maxp_fp16_googlenetv1_100
15,66.928,240.699,GoogLeNetv1,measured,TX2-maxp,tx2-maxp_fp16_googlenetv1_100,1.15,3.1,True,tx2-maxp_fp16_googlenetv1_100
248,75.15,86.78756477,ResNet-50,predicted,TX2-maxn,tx2-maxn_fp32_resnet-50_100,,,True,tx2-maxn_fp32_resnet-50_100
14,75.148,70.6991,ResNet-50,measured,TX2-maxn,tx2-maxn_fp32_resnet-50_100,0.67,7.7,True,tx2-maxn_fp32_resnet-50_100
230,66.96,214.057508,GoogLeNetv1,predicted,TX2-maxn,tx2-maxn_fp32_googlenetv1_100,,,True,tx2-maxn_fp32_googlenetv1_100
13,66.956,156.718,GoogLeNetv1,measured,TX2-maxn,tx2-maxn_fp32_googlenetv1_100,0.67,3.1,True,tx2-maxn_fp32_googlenetv1_100
12,75.142,130.898,ResNet-50,measured,TX2-maxn,tx2-maxn_fp16_resnet-50_100,1.33,7.7,True,tx2-maxn_fp16_resnet-50_100
203,75.14,172.2797927,ResNet-50,predicted,TX2-maxn,tx2-maxn_fp16_resnet-50_100,,,True,tx2-maxn_fp16_resnet-50_100
3,69.2434,274.084,GoogLeNetv1,measured,EdgeTPU-fast,edgetpu-fast_int8_googlenetv1_100,4.0,3.1,True,edgetpu-fast_int8_googlenetv1_100
18,75.148,61.5141,ResNet-50,measured,TX2-maxp,tx2-maxp_fp32_resnet-50_100,0.57,7.7,True,tx2-maxp_fp32_resnet-50_100
47,69.57,3508.77193,MobileNetv1,predicted,EdgeTPU-fast,edgetpu-fast_int8_mobilenetv1_100,,,True,edgetpu-fast_int8_mobilenetv1_100
24,73.29,26.5641,ResNet-50,measured,Ultra96-DPU,ultra96-dpu_int8_resnet-50_100,0.96,7.7,True,ultra96-dpu_int8_resnet-50_100
48,69.57,1754.385965,MobileNetv1,predicted,EdgeTPU-slow,edgetpu-slow_int8_mobilenetv1_100,,,True,edgetpu-slow_int8_mobilenetv1_100
23,69.41,66.5095,GoogLeNetv1,measured,Ultra96-DPU,ultra96-dpu_int8_googlenetv1_100,0.96,3.1,True,ultra96-dpu_int8_googlenetv1_100
16,69.24,306.7092652,GoogLeNetv1,predicted,Ultra96-DPU,ultra96-dpu_int8_googlenetv1_100,,,True,ultra96-dpu_int8_googlenetv1_100
124,73.30,146.7889908,ResNet-50,predicted,Ultra96-DPU,ultra96-dpu_int8_resnet-50_80,,,True,ultra96-dpu_int8_resnet-50_80
106,73.29,124.35233159999999,ResNet-50,predicted,Ultra96-DPU,ultra96-dpu_int8_resnet-50_100,,,True,ultra96-dpu_int8_resnet-50_100
160,68.83,391.8367347,ResNet-50,predicted,Ultra96-DPU,ultra96-dpu_int8_resnet-50_30,,,True,ultra96-dpu_int8_resnet-50_30
25,68.83,49.5801,ResNet-50,measured,Ultra96-DPU,ultra96-dpu_int8_resnet-50_30,0.96,2.5,True,ultra96-dpu_int8_resnet-50_30
142,69.49,256.0,ResNet-50,predicted,Ultra96-DPU,ultra96-dpu_int8_resnet-50_50,,,True,ultra96-dpu_int8_resnet-50_50
26,69.49,39.62,ResNet-50,measured,Ultra96-DPU,ultra96-dpu_int8_resnet-50_50,0.96,3.8,True,ultra96-dpu_int8_resnet-50_50
27,73.3,29.3968,ResNet-50,measured,Ultra96-DPU,ultra96-dpu_int8_resnet-50_80,0.96,6.5,True,ultra96-dpu_int8_resnet-50_80
28,69.49,544.702,GoogLeNetv1,measured,ZCU102-DPU,zcu102-dpu_int8_googlenetv1_100,6.71,3.1,True,zcu102-dpu_int8_googlenetv1_100
18,69.24,2143.769968,GoogLeNetv1,predicted,ZCU102-DPU,zcu102-dpu_int8_googlenetv1_100,,,True,zcu102-dpu_int8_googlenetv1_100
29,72.53,193.787,ResNet-50,measured,ZCU102-DPU,zcu102-dpu_int8_resnet-50_100,6.71,7.7,True,zcu102-dpu_int8_resnet-50_100
108,73.29,752.853886,ResNet-50,predicted,ZCU102-DPU,zcu102-dpu_int8_resnet-50_100,,,True,zcu102-dpu_int8_resnet-50_100
30,68.13,236.6420526,MobileNetv1,measured,ZCU104-DPU,zcu104-dpu_int8_mobilenetv1_100,4.6,1.1,True,zcu104-dpu_int8_mobilenetv1_100
35,69.57,4035.0,MobileNetv1,predicted,ZCU104-DPU,zcu104-dpu_int8_mobilenetv1_100,,,True,zcu104-dpu_int8_mobilenetv1_100
107,73.29,595.8549222999999,ResNet-50,predicted,ZCU104-DPU,zcu104-dpu_int8_resnet-50_100,,,True,zcu104-dpu_int8_resnet-50_100
31,72.53,138.253,ResNet-50,measured,ZCU104-DPU,zcu104-dpu_int8_resnet-50_100,4.6,7.7,True,zcu104-dpu_int8_resnet-50_100
252,75.15,56.99481865,ResNet-50,predicted,TX2-maxq,tx2-maxq_fp32_resnet-50_100,,,True,tx2-maxq_fp32_resnet-50_100
22,75.148,48.21100000000001,ResNet-50,measured,TX2-maxq,tx2-maxq_fp32_resnet-50_100,0.44,7.7,True,tx2-maxq_fp32_resnet-50_100
0,80.47375100000002,38.462,EfficientNet-L,measured,EdgeTPU-fast,edgetpu-fast_int8_efficientnet-l_100,4.0,19.4,True,edgetpu-fast_int8_efficientnet-l_100
21,66.956,106.564,GoogLeNetv1,measured,TX2-maxq,tx2-maxq_fp32_googlenetv1_100,0.44,3.1,True,tx2-maxq_fp32_googlenetv1_100
9,69.5674,244.949,MobileNetv1,measured,EdgeTPU-slow,edgetpu-slow_int8_mobilenetv1_100,2.0,1.1,True,edgetpu-slow_int8_mobilenetv1_100
30,69.24,638.9776357999999,GoogLeNetv1,predicted,EdgeTPU-slow,edgetpu-slow_int8_googlenetv1_100,,,True,edgetpu-slow_int8_googlenetv1_100
8,69.2434,174.785,GoogLeNetv1,measured,EdgeTPU-slow,edgetpu-slow_int8_googlenetv1_100,2.0,3.1,True,edgetpu-slow_int8_googlenetv1_100
7,77.622837,111.131,EfficientNet-S,measured,EdgeTPU-slow,edgetpu-slow_int8_efficientnet-s_100,2.0,4.7,True,edgetpu-slow_int8_efficientnet-s_100
66,77,425.5319149,EfficientNet-S,predicted,EdgeTPU-slow,edgetpu-slow_int8_efficientnet-s_100,,,True,edgetpu-slow_int8_efficientnet-s_100
6,78.975272,71.641,EfficientNet-M,measured,EdgeTPU-slow,edgetpu-slow_int8_efficientnet-m_100,2.0,7.4,True,edgetpu-slow_int8_efficientnet-m_100
84,78.6,270.2702703,EfficientNet-M,predicted,EdgeTPU-slow,edgetpu-slow_int8_efficientnet-m_100,,,True,edgetpu-slow_int8_efficientnet-m_100
5,80.47375100000002,27.778,EfficientNet-L,measured,EdgeTPU-slow,edgetpu-slow_int8_efficientnet-l_100,2.0,19.4,True,edgetpu-slow_int8_efficientnet-l_100
102,80.2,103.1991744,EfficientNet-L,predicted,EdgeTPU-slow,edgetpu-slow_int8_efficientnet-l_100,,,True,edgetpu-slow_int8_efficientnet-l_100
234,66.96,140.57507990000002,GoogLeNetv1,predicted,TX2-maxq,tx2-maxq_fp32_googlenetv1_100,,,True,tx2-maxq_fp32_googlenetv1_100
