,top1,fps-comp,NN_Topology,type,hardw,hardw_datatype_net_prun,hw_peak_perf,nn_total_operations,pairs,color
31,75.85,761.5829025,CNV,measured,U96-Quadcore A53,u96-quadcore a53_int4_cnv_12.5,0.192,0.01,False,measured_no_match
29,79.89,363.667358,CNV,measured,U96-Quadcore A53,u96-quadcore a53_int2_cnv_25,0.192,0.03,False,measured_no_match
28,73.64,766.045053,CNV,measured,U96-Quadcore A53,u96-quadcore a53_int2_cnv_12.5,0.192,0.01,False,measured_no_match
32,81.09,361.91828,CNV,measured,U96-Quadcore A53,u96-quadcore a53_int4_cnv_25,0.192,0.03,False,measured_no_match
30,84.29,104.3136124,CNV,measured,U96-Quadcore A53,u96-quadcore a53_int2_cnv_50,0.192,0.12,False,measured_no_match
179,87.02,1038.1617019999999,CNV,predicted,NCS,ncs_fp16_cnv_100,,,True,ncs_fp16_cnv_100
0,87.02,265.73900000000003,CNV,measured,NCS,ncs_fp16_cnv_100,0.5,0.47,True,ncs_fp16_cnv_100
233,77.82,50000.0,CNV,predicted,NCS,ncs_fp16_cnv_12.5,,,True,ncs_fp16_cnv_12.5
1,77.82,1434.57,CNV,measured,NCS,ncs_fp16_cnv_12.5,0.5,0.01,True,ncs_fp16_cnv_12.5
2,83.28,1211.78,CNV,measured,NCS,ncs_fp16_cnv_25,0.5,0.03,True,ncs_fp16_cnv_25
215,83.28,16666.66667,CNV,predicted,NCS,ncs_fp16_cnv_25,,,True,ncs_fp16_cnv_25
3,85.55,739.209,CNV,measured,NCS,ncs_fp16_cnv_50,0.5,0.12,True,ncs_fp16_cnv_50
197,85.55,4110.933333,CNV,predicted,NCS,ncs_fp16_cnv_50,,,True,ncs_fp16_cnv_50
5,86.86,12457.94043,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int2_cnv_100,,,False,predicted_no_match
82,87.4,6228.9702130000005,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int4_cnv_100,,,False,predicted_no_match
100,84.88,24665.6,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int4_cnv_50,,,False,predicted_no_match
4,87.06,2231.14,CNV,measured,TX2-maxn,tx2-maxn_fp16_cnv_100,1.33,0.47,True,tx2-maxn_fp16_cnv_100
170,87.02,2829.787234,CNV,predicted,TX2-maxn,tx2-maxn_fp16_cnv_100,,,True,tx2-maxn_fp16_cnv_100
5,77.81,34197.2,CNV,measured,TX2-maxn,tx2-maxn_fp16_cnv_12.5,1.33,0.01,True,tx2-maxn_fp16_cnv_12.5
224,77.82,133000.0,CNV,predicted,TX2-maxn,tx2-maxn_fp16_cnv_12.5,,,True,tx2-maxn_fp16_cnv_12.5
6,83.31,20321.5,CNV,measured,TX2-maxn,tx2-maxn_fp16_cnv_25,1.33,0.03,True,tx2-maxn_fp16_cnv_25
206,83.28,44333.33333,CNV,predicted,TX2-maxn,tx2-maxn_fp16_cnv_25,,,True,tx2-maxn_fp16_cnv_25
7,85.57,7707.19,CNV,measured,TX2-maxn,tx2-maxn_fp16_cnv_50,1.33,0.12,True,tx2-maxn_fp16_cnv_50
188,85.55,11083.33333,CNV,predicted,TX2-maxn,tx2-maxn_fp16_cnv_50,,,True,tx2-maxn_fp16_cnv_50
249,87.06,1425.531915,CNV,predicted,TX2-maxn,tx2-maxn_fp32_cnv_100,,,True,tx2-maxn_fp32_cnv_100
8,87.06,1236.0,CNV,measured,TX2-maxn,tx2-maxn_fp32_cnv_100,0.67,0.47,True,tx2-maxn_fp32_cnv_100
9,77.84,23411.6,CNV,measured,TX2-maxn,tx2-maxn_fp32_cnv_12.5,0.67,0.01,True,tx2-maxn_fp32_cnv_12.5
303,77.84,67000.0,CNV,predicted,TX2-maxn,tx2-maxn_fp32_cnv_12.5,,,True,tx2-maxn_fp32_cnv_12.5
10,83.25,12971.1,CNV,measured,TX2-maxn,tx2-maxn_fp32_cnv_25,0.67,0.03,True,tx2-maxn_fp32_cnv_25
285,83.25,22333.33333,CNV,predicted,TX2-maxn,tx2-maxn_fp32_cnv_25,,,True,tx2-maxn_fp32_cnv_25
11,85.6,4384.54,CNV,measured,TX2-maxn,tx2-maxn_fp32_cnv_50,0.67,0.12,True,tx2-maxn_fp32_cnv_50
267,85.6,5583.333333,CNV,predicted,TX2-maxn,tx2-maxn_fp32_cnv_50,,,True,tx2-maxn_fp32_cnv_50
12,87.06,1939.6,CNV,measured,TX2-maxp,tx2-maxp_fp16_cnv_100,1.15,0.47,True,tx2-maxp_fp16_cnv_100
172,87.02,2446.8085109999997,CNV,predicted,TX2-maxp,tx2-maxp_fp16_cnv_100,,,True,tx2-maxp_fp16_cnv_100
226,77.82,115000.0,CNV,predicted,TX2-maxp,tx2-maxp_fp16_cnv_12.5,,,True,tx2-maxp_fp16_cnv_12.5
13,77.81,29763.1,CNV,measured,TX2-maxp,tx2-maxp_fp16_cnv_12.5,1.15,0.01,True,tx2-maxp_fp16_cnv_12.5
208,83.28,38333.33333,CNV,predicted,TX2-maxp,tx2-maxp_fp16_cnv_25,,,True,tx2-maxp_fp16_cnv_25
14,83.31,17483.4,CNV,measured,TX2-maxp,tx2-maxp_fp16_cnv_25,1.15,0.03,True,tx2-maxp_fp16_cnv_25
15,85.57,6618.15,CNV,measured,TX2-maxp,tx2-maxp_fp16_cnv_50,1.15,0.12,True,tx2-maxp_fp16_cnv_50
190,85.55,9583.333333,CNV,predicted,TX2-maxp,tx2-maxp_fp16_cnv_50,,,True,tx2-maxp_fp16_cnv_50
16,87.06,1072.66,CNV,measured,TX2-maxp,tx2-maxp_fp32_cnv_100,0.57,0.47,True,tx2-maxp_fp32_cnv_100
251,87.06,1212.765957,CNV,predicted,TX2-maxp,tx2-maxp_fp32_cnv_100,,,True,tx2-maxp_fp32_cnv_100
305,77.84,57000.0,CNV,predicted,TX2-maxp,tx2-maxp_fp32_cnv_12.5,,,True,tx2-maxp_fp32_cnv_12.5
17,77.84,20283.3,CNV,measured,TX2-maxp,tx2-maxp_fp32_cnv_12.5,0.57,0.01,True,tx2-maxp_fp32_cnv_12.5
287,83.25,19000.0,CNV,predicted,TX2-maxp,tx2-maxp_fp32_cnv_25,,,True,tx2-maxp_fp32_cnv_25
18,83.25,11247.1,CNV,measured,TX2-maxp,tx2-maxp_fp32_cnv_25,0.57,0.03,True,tx2-maxp_fp32_cnv_25
269,85.6,4750.0,CNV,predicted,TX2-maxp,tx2-maxp_fp32_cnv_50,,,True,tx2-maxp_fp32_cnv_50
19,85.6,3744.29,CNV,measured,TX2-maxp,tx2-maxp_fp32_cnv_50,0.57,0.12,True,tx2-maxp_fp32_cnv_50
20,87.06,1520.04,CNV,measured,TX2-maxq,tx2-maxq_fp16_cnv_100,0.87,0.47,True,tx2-maxq_fp16_cnv_100
174,87.02,1851.06383,CNV,predicted,TX2-maxq,tx2-maxq_fp16_cnv_100,,,True,tx2-maxq_fp16_cnv_100
21,77.81,23300.8,CNV,measured,TX2-maxq,tx2-maxq_fp16_cnv_12.5,0.87,0.01,True,tx2-maxq_fp16_cnv_12.5
228,77.82,87000.0,CNV,predicted,TX2-maxq,tx2-maxq_fp16_cnv_12.5,,,True,tx2-maxq_fp16_cnv_12.5
210,83.28,29000.0,CNV,predicted,TX2-maxq,tx2-maxq_fp16_cnv_25,,,True,tx2-maxq_fp16_cnv_25
22,83.31,13507.3,CNV,measured,TX2-maxq,tx2-maxq_fp16_cnv_25,0.87,0.03,True,tx2-maxq_fp16_cnv_25
192,85.55,7250.0,CNV,predicted,TX2-maxq,tx2-maxq_fp16_cnv_50,,,True,tx2-maxq_fp16_cnv_50
23,85.57,5110.47,CNV,measured,TX2-maxq,tx2-maxq_fp16_cnv_50,0.87,0.12,True,tx2-maxq_fp16_cnv_50
253,87.06,936.1702127999998,CNV,predicted,TX2-maxq,tx2-maxq_fp32_cnv_100,,,True,tx2-maxq_fp32_cnv_100
24,87.06,832.648,CNV,measured,TX2-maxq,tx2-maxq_fp32_cnv_100,0.44,0.47,True,tx2-maxq_fp32_cnv_100
307,77.84,44000.0,CNV,predicted,TX2-maxq,tx2-maxq_fp32_cnv_12.5,,,True,tx2-maxq_fp32_cnv_12.5
25,77.84,16053.2,CNV,measured,TX2-maxq,tx2-maxq_fp32_cnv_12.5,0.44,0.01,True,tx2-maxq_fp32_cnv_12.5
26,83.25,8820.21,CNV,measured,TX2-maxq,tx2-maxq_fp32_cnv_25,0.44,0.03,True,tx2-maxq_fp32_cnv_25
289,83.25,14666.666669999999,CNV,predicted,TX2-maxq,tx2-maxq_fp32_cnv_25,,,True,tx2-maxq_fp32_cnv_25
27,85.6,2928.61,CNV,measured,TX2-maxq,tx2-maxq_fp32_cnv_50,0.44,0.12,True,tx2-maxq_fp32_cnv_50
271,85.6,3666.666667,CNV,predicted,TX2-maxq,tx2-maxq_fp32_cnv_50,,,True,tx2-maxq_fp32_cnv_50
180,87.02,345.5131915,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_100,,,True,u96-quadcore a53_int8_cnv_100
17,86.86,408.5106383,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_100,,,True,u96-quadcore a53_int8_cnv_100
258,87.06,172.7565957,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_100,,,True,u96-quadcore a53_int8_cnv_100
93,87.4,408.5106383,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_100,,,True,u96-quadcore a53_int8_cnv_100
312,77.84,8855.475,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_12.5,,,True,u96-quadcore a53_int8_cnv_12.5
147,75.85,19200.0,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_12.5,,,True,u96-quadcore a53_int8_cnv_12.5
71,73.64,19200.0,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_12.5,,,True,u96-quadcore a53_int8_cnv_12.5
234,77.82,17710.95,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_12.5,,,True,u96-quadcore a53_int8_cnv_12.5
216,83.28,5591.25,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_25,,,True,u96-quadcore a53_int8_cnv_25
129,81.09,6400.0,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_25,,,True,u96-quadcore a53_int8_cnv_25
294,83.25,2795.625,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_25,,,True,u96-quadcore a53_int8_cnv_25
53,79.89,6400.0,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_25,,,True,u96-quadcore a53_int8_cnv_25
35,84.29,1600.0,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_50,,,True,u96-quadcore a53_int8_cnv_50
111,84.88,1600.0,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_50,,,True,u96-quadcore a53_int8_cnv_50
276,85.6,684.085,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_50,,,True,u96-quadcore a53_int8_cnv_50
198,85.55,1368.17,CNV,predicted,U96-Quadcore A53,u96-quadcore a53_int8_cnv_50,,,True,u96-quadcore a53_int8_cnv_50
33,73.64,883.6335703,CNV,measured,ZCU104-Bismo,zcu104-bismo_int2_cnv_12.5,30.7,0.01,True,zcu104-bismo_int2_cnv_12.5
59,73.64,638592.0,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int2_cnv_12.5,,,True,zcu104-bismo_int2_cnv_12.5
34,79.89,581.7145176,CNV,measured,ZCU104-Bismo,zcu104-bismo_int2_cnv_25,30.7,0.03,True,zcu104-bismo_int2_cnv_25
41,79.89,201600.0,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int2_cnv_25,,,True,zcu104-bismo_int2_cnv_25
35,84.29,263.9053073,CNV,measured,ZCU104-Bismo,zcu104-bismo_int2_cnv_50,30.7,0.12,True,zcu104-bismo_int2_cnv_50
23,84.29,49331.2,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int2_cnv_50,,,True,zcu104-bismo_int2_cnv_50
36,75.85,605.0294691,CNV,measured,ZCU104-Bismo,zcu104-bismo_int4_cnv_12.5,8.8,0.01,True,zcu104-bismo_int4_cnv_12.5
136,75.85,319296.0,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int4_cnv_12.5,,,True,zcu104-bismo_int4_cnv_12.5
37,81.09,368.8457025,CNV,measured,ZCU104-Bismo,zcu104-bismo_int4_cnv_25,8.8,0.03,True,zcu104-bismo_int4_cnv_25
118,81.09,100800.0,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int4_cnv_25,,,True,zcu104-bismo_int4_cnv_25
38,86.86,2979.082000000001,CNV,measured,ZCU104-FINN,zcu104-finn_int2_cnv_100,30.7,0.47,True,zcu104-finn_int2_cnv_100
3,86.86,12457.94043,CNV,predicted,ZCU104-FINN,zcu104-finn_int2_cnv_100,,,True,zcu104-finn_int2_cnv_100
57,73.64,638592.0,CNV,predicted,ZCU104-FINN,zcu104-finn_int2_cnv_12.5,,,True,zcu104-finn_int2_cnv_12.5
39,73.64,60757.09,CNV,measured,ZCU104-FINN,zcu104-finn_int2_cnv_12.5,30.7,0.01,True,zcu104-finn_int2_cnv_12.5
40,79.89,30286.897,CNV,measured,ZCU104-FINN,zcu104-finn_int2_cnv_25,30.7,0.03,True,zcu104-finn_int2_cnv_25
39,79.89,201600.0,CNV,predicted,ZCU104-FINN,zcu104-finn_int2_cnv_25,,,True,zcu104-finn_int2_cnv_25
21,84.29,49331.2,CNV,predicted,ZCU104-FINN,zcu104-finn_int2_cnv_50,,,True,zcu104-finn_int2_cnv_50
41,84.29,17029.769,CNV,measured,ZCU104-FINN,zcu104-finn_int2_cnv_50,30.7,0.12,True,zcu104-finn_int2_cnv_50
80,87.4,6228.9702130000005,CNV,predicted,ZCU104-FINN,zcu104-finn_int4_cnv_100,,,True,zcu104-finn_int4_cnv_100
42,87.42,686.76,CNV,measured,ZCU104-FINN,zcu104-finn_int4_cnv_100,8.8,0.47,True,zcu104-finn_int4_cnv_100
134,75.85,319296.0,CNV,predicted,ZCU104-FINN,zcu104-finn_int4_cnv_12.5,,,True,zcu104-finn_int4_cnv_12.5
43,75.85,25206.016,CNV,measured,ZCU104-FINN,zcu104-finn_int4_cnv_12.5,8.8,0.01,True,zcu104-finn_int4_cnv_12.5
116,81.09,100800.0,CNV,predicted,ZCU104-FINN,zcu104-finn_int4_cnv_25,,,True,zcu104-finn_int4_cnv_25
44,81.09,15342.62,CNV,measured,ZCU104-FINN,zcu104-finn_int4_cnv_25,8.8,0.03,True,zcu104-finn_int4_cnv_25
98,84.88,24665.6,CNV,predicted,ZCU104-FINN,zcu104-finn_int4_cnv_50,,,True,zcu104-finn_int4_cnv_50
45,84.88,8209.332,CNV,measured,ZCU104-FINN,zcu104-finn_int4_cnv_50,8.8,0.12,True,zcu104-finn_int4_cnv_50
