goo_volt,fast_goo_amp,fast_mob_volt,fast_mob_amp,fast_es_volt,fast_es_amp,fast_em_volt,fast_em_amp,fast_el_volt,fast_el_amp,Idle,fast_r15_volt,fast_r15_amp
5.03,0.265,5.06,0.155,5.02,0.339,5.08,0.07,5.03,0.311,0.79442,5.07,0.082
5.03,0.302,5.06,0.155,5.01,0.373,5.07,0.079,5.04,0.2,0.79442,5.08,0.043
5.03,0.276,5.06,0.155,5.01,0.368,5.06,0.157,5.02,0.312,0.79442,5.06,0.161
5.03,0.276,5.06,0.155,5.01,0.387,5.08,0.041,5.03,0.319,0.79442,5.08,0.044
5.03,0.311,5.06,0.155,5.01,0.388,5.01,0.376,5.02,0.351,0.79442,5.05,0.227
5.02,0.31,5.06,0.155,5.01,0.371,5.02,0.382,5.02,0.333,0.79442,5.04,0.228
5.03,0.308,5.06,0.155,5.01,0.382,5.02,0.374,5.02,0.321,0.79442,5.04,0.232
5.03,0.308,5.06,0.155,5.01,0.363,5.02,0.337,5.02,0.357,0.79442,5.04,0.229
5.03,0.311,5.06,0.155,5.01,0.364,5.02,0.376,5.02,0.358,0.0471,5.04,0.236
5.06,0.156,5.06,0.155,5.06,0.156,5.01,0.378,5.01,0.382,0.0471,5.05,0.225
5.06,0.153,5.06,0.155,5.01,0.368,5.02,0.382,5.01,0.387,0.79442,5.05,0.219
5.03,0.269,5.06,0.155,5.01,0.377,5.02,0.38,5.01,0.376,0.79442,5.05,0.197
5.03,0.291,5.06,0.155,5.01,0.375,5.02,0.376,5.02,0.37,0.79442,5.05,0.225
5.04,0.264,5.03,0.299,5.01,0.374,5.01,0.394,5.02,0.362,0.79442,5.05,0.227
5.03,0.304,5.03,0.294,5.02,0.363,5.01,0.381,5.02,0.359,0.79442,5.05,0.221
5.03,0.304,0.3,0.294,5.06,0.16,5.01,0.396,5.02,0.364,0.79442,5.05,0.229
5.03,0.304,5.05,0.224,5.01,0.376,5.02,0.373,5.01,0.388,0.79442,5.05,0.22
5.03,0.297,5.04,0.279,5.02,0.362,5.02,0.366,5.02,0.365,0.79442,5.05,0.217
5.04,0.267,5.03,0.29,5.01,0.377,5.02,0.366,5.01,0.385,0.79442,5.04,0.227
5.04,0.275,5.03,0.284,5.01,0.391,5.06,0.163,5.02,0.339,0.79442,5.05,0.228
5.03,0.294,5.03,0.291,5.01,0.387,5.02,0.37,5.02,0.365,0.79442,5.04,0.233
5.03,0.307,5.03,0.289,5.01,0.372,5.02,0.371,5.01,0.387,0.79442,5.05,0.197
5.03,0.314,5.08,0.046,5.01,0.37,5.02,0.368,5.02,0.347,0.80454,5.04,0.232
5.03,0.295,5.06,0.157,5.02,0.369,5.02,0.402,3.98,0.398,0.80454,5.05,0.2
5.04,0.275,5.06,0.155,5.02,0.369,5.01,0.391,10.29,0.904,0.80454,5.05,0.229
5.03,0.303,5.06,0.157,5.02,0.369,5.02,0.386,5.02,0.346,0.80454,5.05,0.227
5.03,0.31,,,5.02,0.369,5.02,0.38,5.01,0.386,0.80454,5.05,0.229
5.03,0.303,,,5.02,0.369,5.01,0.389,5.01,0.383,0.80295,5.05,0.226
5.06,0.156,,,5.06,0.158,5.01,0.386,5.02,0.362,0.80454,5.05,0.23
5.03,0.305,,,5.01,0.39,5.02,0.373,5.02,0.368,0.80454,5.05,0.221
5.04,0.28,,,5.01,0.399,5.01,0.385,5.02,0.372,0.80454,5.05,0.226
5.04,0.252,,,5.02,0.325,5.02,0.331,5.02,0.357,0.80454,5.04,0.232
5.08,0.04,,,5.01,0.382,5.03,0.303,5.02,0.38,0.80454,5.05,0.219
,,,,5.02,0.379,5.02,0.381,5.01,0.384,0.80454,5.04,0.219
,,,,5.06,0.159,5.01,0.381,5.02,0.371,0.80454,5.04,0.232
,,,,5.06,0.159,5.02,0.378,5.02,0.354,0.80454,5.04,0.233
,,,,5.01,0.37,5.02,0.369,5.02,0.377,0.80454,5.04,0.23
,,,,5.01,0.386,5.01,0.372,5.02,0.365,0.7979,5.04,0.227
,,,,5.05,0.178,5.02,0.367,5.05,0.2,0.80454,5.04,0.228
,,,,5.06,0.158,5.02,0.369,5.02,0.361,0.80454,5.04,0.221
,,,,5.02,0.363,5.02,0.36,5.02,0.367,0.80454,5.04,0.23
,,,,5.02,0.377,5.01,0.385,5.02,0.381,0.80454,5.04,0.23
,,,,5.01,0.373,5.01,0.384,5.02,0.348,0.79948,5.04,0.228
,,,,5.02,0.347,5.02,0.361,5.02,0.373,0.79948,5.04,0.229
,,,,5.05,0.185,5.01,0.377,5.05,0.22,0.79948,5.04,0.223
,,,,5.01,0.38,5.01,0.389,5.02,0.365,0.8096,5.05,0.219
,,,,5.02,0.354,5.02,0.37,5.05,0.2,0.80454,5.05,0.223
,,,,5.02,0.344,5.02,0.388,5.05,0.198,0.80454,5.04,0.231
,,,,5.01,0.396,5.01,0.373,5.05,0.198,0.80454,5.05,0.231
,,,,5.01,0.376,5.01,0.379,5.05,0.197,0.80454,5.05,0.224
,,,,5.02,0.373,5.01,0.389,5.02,0.356,0.80454,5.05,0.217
,,,,5.01,0.386,5.01,0.368,5.02,0.382,0.80454,5.04,0.234
,,,,5.02,0.343,5.02,0.386,5.02,0.366,0.80454,5.04,0.24
,,,,5.02,0.352,5.01,0.386,5.02,0.357,0.80454,5.04,0.233
,,,,5.02,0.332,5.02,0.378,5.03,0.285,0.80454,5.05,0.223
,,,,5.02,0.373,5.01,0.383,5.05,0.198,0.80454,5.04,0.234
,,,,5.02,0.369,5.02,0.378,5.04,0.244,0.80454,5.04,0.232
,,,,5.01,0.399,5.02,0.37,5.01,0.382,0.80454,5.04,0.222
,,,,5.01,0.374,5.01,0.381,5.02,0.374,0.80454,5.04,0.23
,,,,5.06,0.16,5.01,0.377,5.05,0.198,0.80454,5.04,0.228
,,,,5.02,0.378,5.02,0.36,5.02,0.335,0.80454,5.05,0.198
,,,,5.01,0.383,5.01,0.386,5.02,0.376,0.80454,5.04,0.231
,,,,5.02,0.36,5.02,0.378,5.03,0.322,0.80454,5.04,0.224
,,,,5.01,0.376,5.06,0.165,5.02,0.393,0.80454,5.05,0.215
,,,,5.01,0.386,5.03,0.315,5.02,0.359,0.80454,5.05,0.226
,,,,5.03,0.318,5.02,0.375,5.03,0.318,0.76406,5.04,0.228
,,,,5.02,0.366,5.01,0.376,5.02,0.351,0.76406,5.06,0.169
,,,,5.05,0.194,5.01,0.381,5.02,0.353,0.76406,5.05,0.211
,,,,5.01,0.399,5.01,0.393,5.02,0.359,0.76406,5.04,0.24
,,,,5.02,0.35,5.02,0.373,5.01,0.406,0.76406,5.04,0.227
,,,,5.01,0.396,5.05,0.207,5.02,0.387,0.76406,5.04,0.223
,,,,5.01,0.384,5.05,0.205,5.02,0.345,,5.04,0.229
,,,,5.08,0.045,5.02,0.361,5.02,0.374,,5.04,0.227
,,,,5.06,0.159,5.01,0.383,5.02,0.346,,5.05,0.201
,,,,5.06,0.158,5.01,0.379,5.03,0.316,,5.05,0.214
,,,,5.06,0.158,5.02,0.364,5.01,0.379,,5.04,0.23
,,,,5.06,0.157,5.02,0.38,5.01,0.366,,5.04,0.233
,,,,,,5.01,0.394,5.01,0.389,,5.05,0.228
,,,,,,5.02,0.38,5.02,0.359,,5.05,0.225
,,,,,,5.01,0.387,5.01,0.372,,5.05,0.224
,,,,,,5.01,0.382,5.02,0.364,,5.05,0.22
,,,,,,5.01,0.399,5.02,0.358,,5.04,0.232
,,,,,,5.01,0.383,5.02,0.345,,5.04,0.23
,,,,,,5.02,0.359,5.02,0.361,,5.04,0.227
,,,,,,5.02,0.367,5.02,0.358,,5.04,0.229
,,,,,,5.06,0.165,5.02,0.368,,5.04,0.228
,,,,,,5.06,0.163,5.01,0.409,,5.04,0.224
,,,,,,5.06,0.163,5.02,0.36,,5.04,0.23
,,,,,,5.02,0.385,5.02,0.36,,5.04,0.224
,,,,,,5.02,0.374,5.01,0.409,,5.04,0.233
,,,,,,5.02,0.383,5.02,0.371,,5.05,0.228
,,,,,,5.02,0.37,5.02,0.356,,5.04,0.227
,,,,,,5.02,0.376,5.03,0.3,,5.05,0.194
,,,,,,5.02,0.378,5.01,0.384,,5.06,0.162
,,,,,,5.02,0.381,5.02,0.352,,5.06,0.162
,,,,,,5.01,0.386,5.02,0.342,,5.06,0.162
,,,,,,5.01,0.397,5.01,0.368,,5.06,0.162
,,,,,,5.02,0.387,5.02,0.345,,5.06,0.162
,,,,,,5.01,0.376,5.01,0.381,,5.06,0.162
,,,,,,5.01,0.383,5.02,0.333,,5.06,0.162
,,,,,,5.02,0.383,5.01,0.372,,5.06,0.162
,,,,,,5.02,0.384,5.01,0.382,,5.06,0.161
,,,,,,5.02,0.379,5.02,0.368,,5.06,0.161
,,,,,,5.02,0.368,5.02,0.345,,5.06,0.162
,,,,,,5.01,0.391,5.02,0.363,,5.06,0.161
,,,,,,5.01,0.391,5.02,0.36,,5.06,0.161
,,,,,,5.02,0.375,5.02,0.365,,5.06,0.161
,,,,,,5.02,0.384,5.02,0.332,,5.06,0.161
,,,,,,5.07,0.103,5.02,0.35,,5.05,0.215
,,,,,,5.06,0.162,5.02,0.352,,5.04,0.233
,,,,,,5.06,0.162,5.02,0.341,,5.05,0.226
,,,,,,,,5.02,0.349,,5.04,0.23
,,,,,,,,5.02,0.37,,5.04,0.23
,,,,,,,,5.02,0.367,,5.04,0.224
,,,,,,,,5.01,0.386,,5.04,0.23
,,,,,,,,5.02,0.38,,5.04,0.225
,,,,,,,,5.02,0.338,,5.04,0.234
,,,,,,,,5.02,0.353,,5.04,0.228
,,,,,,,,5.02,0.361,,5.04,0.229
,,,,,,,,5.01,0.375,,5.04,0.234
,,,,,,,,5.02,0.336,,5.04,0.222
,,,,,,,,5.01,0.393,,5.04,0.231
,,,,,,,,5.02,0.377,,5.04,0.231
,,,,,,,,5.02,0.36,,5.04,0.221
,,,,,,,,5.01,0.361,,5.04,0.229
,,,,,,,,5.01,0.379,,5.04,0.234
,,,,,,,,5.02,0.348,,5.05,0.23
,,,,,,,,5.02,0.371,,5.05,0.198
,,,,,,,,5.01,0.381,,5.05,0.228
,,,,,,,,5.02,0.349,,5.04,0.236
,,,,,,,,5.01,0.391,,5.04,0.233
,,,,,,,,5.01,0.405,,5.05,0.2
,,,,,,,,5.02,0.363,,5.05,0.226
,,,,,,,,5.02,0.369,,5.04,0.229
,,,,,,,,5.02,0.343,,5.04,0.227
,,,,,,,,5.02,0.365,,5.04,0.222
,,,,,,,,5.02,0.36,,5.04,0.222
,,,,,,,,5.02,0.36,,5.04,0.217
,,,,,,,,5.02,0.362,,5.04,0.23
,,,,,,,,5.02,0.332,,5.04,0.222
,,,,,,,,5.02,0.344,,5.04,0.218
,,,,,,,,5.02,0.373,,5.04,0.221
,,,,,,,,5.02,0.325,,5.05,0.194
,,,,,,,,5.02,0.338,,5.05,0.214
,,,,,,,,5.04,0.255,,5.04,0.224
,,,,,,,,5.02,0.358,,5.04,0.218
,,,,,,,,5.02,0.357,,5.04,0.216
,,,,,,,,5.04,0.253,,5.04,0.223
,,,,,,,,5.02,0.367,,5.04,0.222
,,,,,,,,5.01,0.382,,5.04,0.224
,,,,,,,,5.02,0.371,,5.04,0.222
,,,,,,,,5.04,0.248,,5.04,0.228
,,,,,,,,5.02,0.366,,5.04,0.223
,,,,,,,,5.03,0.329,,5.04,0.225
,,,,,,,,5.01,0.395,,5.04,0.227
,,,,,,,,5.01,0.392,,5.04,0.225
,,,,,,,,5.02,0.352,,5.04,0.219
,,,,,,,,5.01,0.405,,5.04,0.214
,,,,,,,,5.03,0.316,,5.04,0.225
,,,,,,,,5.01,0.376,,5.06,0.161
,,,,,,,,5.01,0.377,,5.06,0.162
,,,,,,,,5.02,0.367,,5.04,0.225
,,,,,,,,5.02,0.381,,5.04,0.227
,,,,,,,,5.02,0.341,,5.04,0.227
,,,,,,,,5.02,0.368,,5.04,0.223
,,,,,,,,5.01,0.368,,5.05,0.217
,,,,,,,,5.02,0.371,,5.05,0.215
,,,,,,,,5.02,0.37,,5.05,0.21
,,,,,,,,5.03,0.308,,5.05,0.224
,,,,,,,,5.02,0.337,,5.05,0.228
,,,,,,,,5.01,0.403,,5.04,0.224
,,,,,,,,5.02,0.335,,5.05,0.198
,,,,,,,,5.01,0.391,,5.04,0.221
,,,,,,,,5.02,0.348,,5.05,0.218
,,,,,,,,5.02,0.374,,5.05,0.217
,,,,,,,,5.01,0.38,,5.05,0.217
,,,,,,,,5.02,0.376,,5.05,0.206
,,,,,,,,5.01,0.384,,5.04,0.232
,,,,,,,,5.02,0.359,,5.05,0.214
,,,,,,,,5.01,0.391,,5.04,0.231
,,,,,,,,5.03,0.306,,5.05,0.213
,,,,,,,,5.05,0.212,,5.05,0.228
,,,,,,,,5.05,0.208,,5.04,0.224
,,,,,,,,5.03,0.318,,5.05,0.22
,,,,,,,,5.02,0.355,,5.05,0.231
,,,,,,,,5.02,0.366,,5.05,0.224
,,,,,,,,5.01,0.38,,5.05,0.223
,,,,,,,,5.02,0.367,,5.05,0.216
,,,,,,,,5.02,0.347,,5.04,0.225
,,,,,,,,5.03,0.287,,5.05,0.214
,,,,,,,,5.05,0.201,,5.05,0.219
,,,,,,,,5.02,0.365,,5.05,0.225
,,,,,,,,5.02,0.367,,5.04,0.23
,,,,,,,,5.05,0.202,,5.04,0.239
,,,,,,,,5.05,0.198,,5.05,0.221
,,,,,,,,5.02,0.396,,5.04,0.223
,,,,,,,,5.01,0.384,,5.05,0.208
,,,,,,,,5.01,0.375,,5.04,0.225
,,,,,,,,5.02,0.367,,5.05,0.216
,,,,,,,,5.06,0.168,,5.05,0.203
,,,,,,,,5.04,0.203,,5.04,0.225
,,,,,,,,5.01,0.379,,5.04,0.228
,,,,,,,,5.02,0.343,,5.05,0.226
,,,,,,,,5.02,0.363,,5.05,0.224
,,,,,,,,5.02,0.353,,5.04,0.226
,,,,,,,,5.02,0.342,,5.05,0.218
,,,,,,,,5.02,0.365,,5.05,0.208
,,,,,,,,5.02,0.365,,5.04,0.227
,,,,,,,,5.02,0.193,,5.05,0.223
,,,,,,,,5.02,0.574,,5.05,0.213
,,,,,,,,5.56,0.398,,5.05,0.22
,,,,,,,,5.02,0.354,,5.05,0.226
,,,,,,,,5.02,0.354,,5.05,0.219
,,,,,,,,5.02,0.354,,5.04,0.227
,,,,,,,,5.02,0.354,,5.04,0.225
,,,,,,,,5.05,0.202,,5.04,0.222
,,,,,,,,5.01,0.388,,5.05,0.218
,,,,,,,,5.02,0.374,,5.05,0.226
,,,,,,,,5.01,0.39,,5.05,0.218
,,,,,,,,5.02,0.368,,5.04,0.225
,,,,,,,,5.02,0.378,,5.04,0.23
,,,,,,,,5.01,0.394,,5.04,0.226
,,,,,,,,5.02,0.365,,5.04,0.229
,,,,,,,,5.02,0.362,,5.05,0.219
,,,,,,,,5.02,0.363,,5.04,0.238
,,,,,,,,5.02,0.376,,5.04,0.222
,,,,,,,,5.02,0.366,,5.04,0.221
,,,,,,,,5.02,0.361,,5.04,0.228
,,,,,,,,5.06,0.168,,5.04,0.224
,,,,,,,,5.02,0.352,,5.04,0.224
,,,,,,,,5.02,0.321,,5.04,0.229
,,,,,,,,5.02,0.377,,5.04,0.228
,,,,,,,,5.02,0.377,,5.04,0.228
,,,,,,,,5.01,0.394,,5.04,0.217
,,,,,,,,5.03,0.308,,5.04,0.217
,,,,,,,,5.06,0.167,,5.05,0.21
,,,,,,,,5.02,0.375,,5.04,0.226
,,,,,,,,5.02,0.344,,5.05,0.215
,,,,,,,,5.02,0.357,,5.04,0.227
,,,,,,,,5.02,0.355,,5.04,0.227
,,,,,,,,5.02,0.367,,5.04,0.228
,,,,,,,,5.01,0.391,,5.05,0.215
,,,,,,,,5.03,0.306,,5.05,0.218
,,,,,,,,5.01,0.387,,5.04,0.228
,,,,,,,,5.01,0.384,,5.04,0.223
,,,,,,,,5.02,0.39,,5.04,0.221
,,,,,,,,5.02,0.378,,5.05,0.212
,,,,,,,,5.03,0.303,,5.04,0.222
,,,,,,,,5.02,0.38,,5.05,0.215
,,,,,,,,5.02,0.375,,5.04,0.24
,,,,,,,,5.02,0.387,,5.04,0.221
,,,,,,,,5.02,0.378,,5.05,0.215
,,,,,,,,5.01,0.4,,5.04,0.219
,,,,,,,,5.01,0.41,,5.04,0.23
,,,,,,,,5.01,0.399,,5.04,0.229
,,,,,,,,5.03,0.302,,5.04,0.225
,,,,,,,,5.04,0.266,,5.04,0.219
,,,,,,,,5.02,0.384,,5.04,0.225
,,,,,,,,5.02,0.371,,5.05,0.211
,,,,,,,,5.01,0.387,,5.05,0.226
,,,,,,,,5.01,0.375,,5.04,0.227
,,,,,,,,5.02,0.35,,5.04,0.223
,,,,,,,,5.02,0.378,,5.05,0.215
,,,,,,,,5.01,0.401,,5.04,0.221
,,,,,,,,5.02,0.36,,5.05,0.214
,,,,,,,,5.01,0.381,,5.04,0.223
,,,,,,,,5.02,0.351,,5.04,0.223
,,,,,,,,5.01,0.386,,5.05,0.22
,,,,,,,,5.01,0.401,,5.04,0.227
,,,,,,,,5.01,0.404,,5.04,0.219
,,,,,,,,5.03,0.321,,5.05,0.196
,,,,,,,,5.02,0.377,,5.04,0.23
,,,,,,,,5.01,0.397,,5.04,0.229
,,,,,,,,5.03,0.311,,5.04,0.231
,,,,,,,,5.02,0.354,,5.04,0.235
,,,,,,,,5.01,0.382,,5.04,0.223
,,,,,,,,5.02,0.354,,5.04,0.219
,,,,,,,,5.02,0.355,,5.04,0.224
,,,,,,,,5.02,0.386,,5.05,0.215
,,,,,,,,5.02,0.334,,5.04,0.226
,,,,,,,,5.02,0.371,,5.05,0.217
,,,,,,,,5.01,0.374,,5.04,0.226
,,,,,,,,5.02,0.375,,5.04,0.23
,,,,,,,,5.02,0.36,,5.04,0.222
,,,,,,,,5.02,0.385,,5.04,0.225
,,,,,,,,5.02,0.337,,5.05,0.221
,,,,,,,,5.02,0.373,,5.04,0.217
,,,,,,,,5.02,0.358,,5.04,0.222
,,,,,,,,5.02,0.346,,5.06,0.159
,,,,,,,,5.02,0.356,,5.05,0.197
,,,,,,,,5.02,0.346,,5.04,0.228
,,,,,,,,5.07,0.084,,5.04,0.15
,,,,,,,,5.06,0.166,,7.27,0.445
,,,,,,,,5.06,0.165,,5.04,0.225
,,,,,,,,5.06,0.165,,5.04,0.216
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.04,0.211
,,,,,,,,,,,5.04,0.216
,,,,,,,,,,,5.04,0.231
,,,,,,,,,,,5.04,0.226
,,,,,,,,,,,5.04,0.224
,,,,,,,,,,,5.04,0.22
,,,,,,,,,,,5.04,0.224
,,,,,,,,,,,5.04,0.216
,,,,,,,,,,,5.04,0.229
,,,,,,,,,,,5.04,0.233
,,,,,,,,,,,5.04,0.221
,,,,,,,,,,,5.04,0.235
,,,,,,,,,,,5.05,0.216
,,,,,,,,,,,5.05,0.221
,,,,,,,,,,,5.04,0.215
,,,,,,,,,,,5.04,0.218
,,,,,,,,,,,5.05,0.217
,,,,,,,,,,,5.04,0.226
,,,,,,,,,,,5.04,0.213
,,,,,,,,,,,5.04,0.223
,,,,,,,,,,,5.04,0.227
,,,,,,,,,,,5.04,0.23
,,,,,,,,,,,5.04,0.217
,,,,,,,,,,,5.04,0.223
,,,,,,,,,,,5.05,0.218
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.04,0.219
,,,,,,,,,,,5.05,0.193
,,,,,,,,,,,5.04,0.227
,,,,,,,,,,,5.04,0.23
,,,,,,,,,,,5.04,0.217
,,,,,,,,,,,5.04,0.223
,,,,,,,,,,,5.04,0.234
,,,,,,,,,,,5.05,0.193
,,,,,,,,,,,5.04,0.221
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.04,0.222
,,,,,,,,,,,5.04,0.223
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.04,0.217
,,,,,,,,,,,5.06,0.16
,,,,,,,,,,,5.04,0.216
,,,,,,,,,,,5.04,0.221
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.04,0.215
,,,,,,,,,,,5.04,0.223
,,,,,,,,,,,5.04,0.222
,,,,,,,,,,,5.04,0.233
,,,,,,,,,,,5.04,0.219
,,,,,,,,,,,5.05,0.207
,,,,,,,,,,,5.05,0.207
,,,,,,,,,,,5.04,0.226
,,,,,,,,,,,5.05,0.207
,,,,,,,,,,,5.04,0.214
,,,,,,,,,,,5.04,0.224
,,,,,,,,,,,5.04,0.223
,,,,,,,,,,,5.04,0.222
,,,,,,,,,,,5.05,0.205
,,,,,,,,,,,5.05,0.188
,,,,,,,,,,,5.04,0.212
,,,,,,,,,,,5.04,0.217
,,,,,,,,,,,5.04,0.213
,,,,,,,,,,,5.04,0.224
,,,,,,,,,,,5.04,0.218
,,,,,,,,,,,5.05,0.202
,,,,,,,,,,,5.04,0.224
,,,,,,,,,,,5.04,0.217
,,,,,,,,,,,5.04,0.216
,,,,,,,,,,,5.04,0.223
,,,,,,,,,,,5.04,0.217
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.04,0.213
,,,,,,,,,,,5.04,0.223
,,,,,,,,,,,5.04,0.214
,,,,,,,,,,,5.04,0.232
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.04,0.227
,,,,,,,,,,,5.04,0.228
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.04,0.217
,,,,,,,,,,,5.05,0.208
,,,,,,,,,,,5.05,0.222
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.05,0.217
,,,,,,,,,,,5.05,0.219
,,,,,,,,,,,5.05,0.225
,,,,,,,,,,,5.05,0.192
,,,,,,,,,,,5.05,0.192
,,,,,,,,,,,5.05,0.195
,,,,,,,,,,,5.05,0.222
,,,,,,,,,,,5.05,0.222
,,,,,,,,,,,5.05,0.213
,,,,,,,,,,,5.05,0.225
,,,,,,,,,,,5.04,0.226
,,,,,,,,,,,5.05,0.208
,,,,,,,,,,,5.05,0.218
,,,,,,,,,,,5.05,0.216
,,,,,,,,,,,5.05,0.224
,,,,,,,,,,,5.05,0.221
,,,,,,,,,,,5.04,0.229
,,,,,,,,,,,5.05,0.212
,,,,,,,,,,,5.05,0.223
,,,,,,,,,,,5.05,0.225
,,,,,,,,,,,5.05,0.219
,,,,,,,,,,,5.05,0.215
,,,,,,,,,,,5.05,0.22
,,,,,,,,,,,5.05,0.219
,,,,,,,,,,,5.05,0.22
,,,,,,,,,,,5.04,0.229
,,,,,,,,,,,5.04,0.224
,,,,,,,,,,,5.05,0.215
,,,,,,,,,,,5.05,0.216
,,,,,,,,,,,5.05,0.229
,,,,,,,,,,,5.05,0.228
,,,,,,,,,,,5.05,0.214
,,,,,,,,,,,5.05,0.193
,,,,,,,,,,,5.04,0.227
,,,,,,,,,,,5.05,0.218
,,,,,,,,,,,5.05,0.213
,,,,,,,,,,,5.05,0.217
,,,,,,,,,,,5.05,0.225
,,,,,,,,,,,5.05,0.225
,,,,,,,,,,,5.05,0.221
,,,,,,,,,,,5.05,0.22
,,,,,,,,,,,5.05,0.219
,,,,,,,,,,,5.04,0.23
,,,,,,,,,,,5.05,0.228
,,,,,,,,,,,5.05,0.217
,,,,,,,,,,,5.05,0.215
,,,,,,,,,,,5.05,0.221
,,,,,,,,,,,5.05,0.211
,,,,,,,,,,,5.05,0.221
,,,,,,,,,,,5.05,0.227
,,,,,,,,,,,5.05,0.202
,,,,,,,,,,,5.05,0.192
,,,,,,,,,,,5.05,0.192
,,,,,,,,,,,5.05,0.221
,,,,,,,,,,,5.04,0.227
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.04,0.222
,,,,,,,,,,,5.05,0.22
,,,,,,,,,,,5.05,0.205
,,,,,,,,,,,5.04,0.222
,,,,,,,,,,,5.04,0.229
,,,,,,,,,,,5.05,0.202
,,,,,,,,,,,5.04,0.225
,,,,,,,,,,,5.04,0.227
,,,,,,,,,,,5.04,0.223
,,,,,,,,,,,5.04,0.228
,,,,,,,,,,,5.04,0.226
,,,,,,,,,,,5.05,0.205
,,,,,,,,,,,5.04,0.218
,,,,,,,,,,,5.05,0.213
,,,,,,,,,,,5.04,0.215
,,,,,,,,,,,5.04,0.218
,,,,,,,,,,,5.04,0.23
,,,,,,,,,,,5.04,0.229
,,,,,,,,,,,5.04,0.231
,,,,,,,,,,,5.04,0.219
,,,,,,,,,,,5.04,0.231
,,,,,,,,,,,5.04,0.224
,,,,,,,,,,,5.04,0.224
,,,,,,,,,,,5.04,0.222
,,,,,,,,,,,5.04,0.218
,,,,,,,,,,,5.05,0.207
,,,,,,,,,,,5.04,0.221
,,,,,,,,,,,5.04,0.232
,,,,,,,,,,,5.04,0.222
,,,,,,,,,,,5.04,0.218
,,,,,,,,,,,5.04,0.229
,,,,,,,,,,,5.04,0.219
,,,,,,,,,,,5.04,0.221
,,,,,,,,,,,5.04,0.221
,,,,,,,,,,,5.04,0.215
,,,,,,,,,,,5.04,0.222
,,,,,,,,,,,5.04,0.217
,,,,,,,,,,,5.04,0.217
,,,,,,,,,,,5.04,0.218
,,,,,,,,,,,5.04,0.226
,,,,,,,,,,,5.04,0.227
,,,,,,,,,,,5.04,0.227
,,,,,,,,,,,5.04,0.227
,,,,,,,,,,,5.04,0.227
,,,,,,,,,,,5.04,0.227
,,,,,,,,,,,5.04,0.227
,,,,,,,,,,,1.96,0.227
,,,,,,,,,,,1.96,0.227
,,,,,,,,,,,1.96,0.227
,,,,,,,,,,,1.96,0.227
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.26,0.405
,,,,,,,,,,,6.61,0.309
,,,,,,,,,,,5.06,0.154
,,,,,,,,,,,5.06,0.154
,,,,,,,,,,,5.06,0.003
