goo_volt,slow_goo_amp,slow_mob_volt,slow_mob_amp,slow_es_volt,slow_es_amp,slow_em_volt,slow_em_amp,slow_el_volt,slow_el_amp,Idle,slow_r15_volt,slow_r15_amp
5.04,0.224,5.06,0.15,5.05,0.17,5.06,0.141,5.07,0.097,0.26924,5.06,0.193
5.04,0.219,5.06,0.151,5.04,0.233,5.06,0.153,5.03,0.286,0.26871,5.05,0.204
5.04,0.239,5.06,0.151,5.03,0.282,5.05,0.218,5.03,0.278,0.26871,5.05,0.202
5.06,0.151,5.06,0.15,5.03,0.28,5.05,0.19,5.03,0.277,0.26871,5.06,0.194
5.05,0.161,5.06,0.149,5.04,0.263,5.06,0.176,5.03,0.278,0.26871,5.05,0.201
5.04,0.2,5.06,0.151,5.03,0.288,5.03,0.287,5.03,0.303,0.26871,5.05,0.207
5.04,0.237,5.06,0.15,5.03,0.284,5.06,0.157,5.03,0.293,0.26871,5.05,0.2
5.06,0.15,5.06,0.151,5.05,0.22,5.03,0.285,5.03,0.266,0.27378,5.06,0.188
5.05,0.166,5.06,0.152,5.06,0.156,5.03,0.28,5.03,0.283,0.7337,5.05,0.201
5.05,0.19,5.06,0.152,5.06,0.156,5.06,0.171,5.03,0.291,0.26416,5.05,0.207
5.04,0.229,5.06,0.152,5.06,0.155,5.06,0.158,5.03,0.277,0.26871,5.05,0.2
5.04,0.232,5.06,0.152,5.06,0.155,5.06,0.158,5.03,0.291,0.26364,5.05,0.196
5.03,0.237,5.06,0.152,5.06,0.171,5.03,0.276,5.03,0.281,0.7373,5.05,0.204
5.03,0.239,5.08,0.052,5.03,0.281,5.03,0.294,5.03,0.27,0.79285,5.05,0.206
5.04,0.234,5.06,0.152,5.03,0.271,5.03,0.285,5.05,0.171,0.79285,5.06,0.195
5.04,0.229,5.07,0.115,5.03,0.275,5.03,0.281,5.06,0.171,0.7777,5.05,0.205
5.04,0.236,5.05,0.197,5.03,0.264,5.06,0.178,5.03,0.302,0.75245,5.06,0.174
5.04,0.238,5.04,0.237,5.03,0.286,5.06,0.179,5.03,0.279,0.8282,5.06,0.173
5.04,0.231,5.04,0.24,5.03,0.277,5.03,0.295,5.03,0.277,0.83325,5.06,0.173
5.05,0.174,5.05,0.175,5.06,0.156,5.03,0.29,5.03,0.286,0.83325,5.06,0.173
5.03,0.24,5.04,0.235,5.03,0.281,5.04,0.284,5.03,0.263,0.68816,5.06,0.173
5.03,0.248,5.05,0.184,5.03,0.282,5.03,0.287,5.02,0.305,0.83325,5.06,0.202
5.03,0.24,5.04,0.227,5.03,0.29,5.03,0.306,5.03,0.276,0.83325,5.06,0.173
5.04,0.232,5.06,0.153,5.06,0.157,5.03,0.281,5.03,0.269,0.76406,5.06,0.173
5.04,0.225,5.04,0.236,5.06,0.156,5.05,0.178,5.06,0.155,0.76406,5.05,0.203
5.04,0.238,5.04,0.232,5.03,0.286,5.03,0.292,5.02,0.316,0.76406,5.05,0.202
5.04,0.24,5.04,0.234,5.03,0.283,5.04,0.252,5.03,0.264,0.76406,5.06,0.202
5.04,0.234,5.04,0.231,5.03,0.284,5.06,0.158,5.04,0.23,0.76406,5.05,0.204
5.04,0.234,5.06,0.153,5.03,0.275,5.06,0.158,5.03,0.252,0.76406,5.05,0.206
5.04,0.237,5.06,0.152,5.06,0.157,5.03,0.287,5.05,0.175,0.76406,5.05,0.199
5.04,0.233,5.04,0.204,5.03,0.278,5.03,0.28,5.02,0.29,0.76406,5.05,0.202
5.04,0.229,5.05,0.161,5.03,0.287,5.03,0.286,5.03,0.302,0.76406,5.05,0.208
5.06,0.152,5.04,0.238,5.06,0.156,5.03,0.291,5.03,0.279,0.76406,5.06,0.2
5.04,0.238,5.04,0.234,5.06,0.156,5.03,0.307,5.03,0.303,0.75394,5.06,0.206
5.04,0.23,5.04,0.236,5.06,0.156,5.03,0.294,5.03,0.275,0.75394,5.06,0.205
5.06,0.152,5.04,0.234,5.03,0.277,5.06,0.159,5.04,0.238,0.759,5.06,0.201
5.04,0.238,5.04,0.239,5.03,0.284,5.06,0.158,5.03,0.287,0.759,5.06,0.185
5.04,0.236,5.04,0.236,5.03,0.284,5.03,0.281,5.03,0.259,0.759,5.07,0.157
5.04,0.233,5.04,0.233,5.03,0.285,5.03,0.285,5.04,0.266,0.759,5.07,0.157
5.04,0.24,5.04,0.236,5.06,0.156,5.03,0.3,5.03,0.265,0.759,5.06,0.197
5.04,0.236,5.04,0.237,5.03,0.279,5.03,0.281,5.03,0.289,0.759,5.05,0.206
5.04,0.241,5.04,0.232,5.03,0.282,5.03,0.292,5.03,0.299,0.759,5.05,0.213
5.04,0.239,5.04,0.238,5.06,0.156,5.05,0.217,5.03,0.279,0.76406,5.06,0.191
5.05,0.201,5.04,0.237,5.06,0.156,5.04,0.243,5.06,0.155,0.76912,5.06,0.174
5.06,0.152,5.06,0.153,5.06,0.155,5.04,0.218,5.06,0.154,0.76912,5.06,0.174
5.05,0.179,5.06,0.152,5.04,0.271,5.03,0.287,5.06,0.154,0.76912,5.06,0.174
5.04,0.236,5.06,0.152,5.03,0.282,5.03,0.268,5.03,0.284,0.76406,5.06,0.181
5.04,0.234,5.04,0.235,5.03,0.284,5.03,0.277,5.03,0.279,0.76912,5.06,0.198
5.05,0.177,5.04,0.234,5.03,0.29,5.03,0.285,5.03,0.267,0.76912,5.06,0.204
5.04,0.234,5.04,0.235,5.03,0.28,5.03,0.283,5.03,0.287,0.76912,5.06,0.196
5.04,0.234,5.04,0.231,5.03,0.276,5.03,0.284,5.04,0.227,0.76912,5.06,0.195
5.04,0.239,5.06,0.152,5.05,0.191,5.06,0.157,5.03,0.303,0.76912,5.06,0.204
5.04,0.225,5.04,0.236,5.03,0.28,2.18,0.218,5.03,0.259,0.76912,5.06,0.195
5.04,0.24,5.04,0.22,5.03,0.281,5.36,0.314,5.03,0.291,0.76912,5.06,0.205
5.04,0.236,5.04,0.231,5.03,0.282,5.36,0.314,5.03,0.285,0.76406,5.06,0.207
5.04,0.237,5.05,0.185,5.03,0.283,5.03,0.274,5.03,0.279,0.76912,5.06,0.199
5.04,0.236,5.06,0.154,5.03,0.283,5.03,0.287,5.03,0.273,0.76406,5.06,0.199
5.04,0.231,5.04,0.231,5.03,0.285,5.05,0.207,5.03,0.268,0.76406,5.06,0.203
5.06,0.161,5.04,0.238,5.03,0.287,5.03,0.276,5.03,0.269,0.76912,5.06,0.205
5.04,0.243,5.04,0.238,5.03,0.28,5.06,0.16,5.03,0.283,0.76912,5.06,0.197
5.04,0.236,5.04,0.236,5.03,0.285,5.05,0.177,5.03,0.29,0.76912,5.06,0.208
5.04,0.244,5.04,0.239,5.03,0.284,5.03,0.29,5.03,0.301,0.77418,5.06,0.197
5.04,0.236,5.04,0.229,5.03,0.279,5.05,0.202,5.03,0.288,0.77418,5.06,0.195
5.04,0.23,5.04,0.236,5.03,0.28,5.04,0.264,5.03,0.302,,5.06,0.198
5.05,0.21,5.05,0.205,5.06,0.156,5.03,0.278,5.03,0.295,,5.06,0.203
5.04,0.234,5.04,0.24,5.03,0.284,5.03,0.284,5.03,0.294,,5.06,0.178
5.04,0.235,5.05,0.183,5.03,0.285,5.03,0.291,5.03,0.252,,5.06,0.178
5.04,0.234,5.06,0.154,5.03,0.285,5.03,0.289,5.04,0.229,,5.06,0.199
5.04,0.24,5.06,0.153,5.03,0.283,5.03,0.273,5.05,0.174,,5.06,0.203
5.04,0.225,5.04,0.227,5.03,0.28,5.03,0.279,5.03,0.295,,5.06,0.201
5.04,0.228,5.06,0.153,5.03,0.291,5.03,0.285,5.04,0.207,,5.06,0.202
5.04,0.231,5.04,0.24,5.03,0.284,5.03,0.276,5.03,0.286,,5.06,0.191
5.06,0.161,5.04,0.234,5.03,0.284,5.03,0.288,5.03,0.281,,5.05,0.21
5.05,0.193,5.05,0.188,5.03,0.285,5.05,0.168,5.05,0.212,,5.06,0.195
5.08,0.071,5.06,0.153,5.03,0.281,5.03,0.291,5.03,0.291,,5.06,0.197
5.06,0.152,5.06,0.156,5.03,0.282,5.04,0.217,5.03,0.277,,5.07,0.157
5.06,0.151,5.06,0.163,5.03,0.277,5.05,0.178,5.03,0.294,,5.07,0.157
5.06,0.152,5.04,0.24,5.03,0.286,5.03,0.284,5.03,0.271,,5.07,0.157
5.06,0.151,5.04,0.231,5.06,0.176,5.04,0.228,5.03,0.289,,5.07,0.157
5.06,0.151,5.04,0.239,5.03,0.286,5.03,0.278,5.03,0.298,,5.07,0.157
,,5.05,0.198,5.03,0.283,5.03,0.293,5.03,0.281,,5.06,0.196
,,5.06,0.152,5.06,0.157,5.04,0.269,5.04,0.268,,5.06,0.203
,,,,5.06,0.156,5.03,0.294,5.06,0.162,,5.06,0.196
,,,,5.06,0.156,5.03,0.288,5.04,0.25,,5.06,0.21
,,,,5.03,0.276,5.03,0.273,5.03,0.284,,5.06,0.174
,,,,5.06,0.157,5.04,0.268,5.03,0.298,,5.06,0.174
,,,,5.04,0.234,5.03,0.274,5.06,0.171,,5.06,0.174
,,,,5.03,0.282,5.03,0.288,5.06,0.171,,5.06,0.174
,,,,5.03,0.29,5.04,0.241,5.06,0.17,,5.06,0.174
,,,,5.03,0.285,5.04,0.243,5.06,0.17,,5.06,0.198
,,,,5.03,0.283,5.06,0.157,5.06,0.17,,5.05,0.206
,,,,5.03,0.285,5.06,0.156,5.05,0.185,,5.06,0.196
,,,,5.03,0.282,5.03,0.287,5.03,0.278,,5.06,0.197
,,,,5.03,0.291,5.04,0.262,5.03,0.273,,5.06,0.201
,,,,5.03,0.29,5.03,0.29,5.03,0.282,,5.06,0.204
,,,,5.06,0.157,5.03,0.303,5.03,0.276,,5.05,0.207
,,,,5.06,0.157,5.03,0.292,5.02,0.301,,5.06,0.194
,,,,5.06,0.156,5.03,0.291,5.02,0.308,,5.06,0.208
,,,,5.06,0.156,5.04,0.276,5.04,0.263,,5.06,0.2
,,,,5.06,0.188,5.03,0.288,5.03,0.279,,5.06,0.21
,,,,5.03,0.282,5.03,0.274,5.03,0.286,,5.06,0.203
,,,,5.06,0.156,5.03,0.294,5.03,0.288,,5.06,0.209
,,,,5.03,0.287,5.03,0.286,5.02,0.311,,5.06,0.199
,,,,5.05,0.189,5.03,0.277,5.03,0.274,,5.06,0.207
,,,,5.03,0.274,5.03,0.295,5.04,0.267,,5.06,0.206
,,,,5.06,0.157,5.03,0.285,5.06,0.171,,5.05,0.194
,,,,5.06,0.156,5.03,0.27,5.03,0.284,,5.06,0.166
,,,,5.04,0.27,5.03,0.281,5.03,0.289,,5.06,0.191
,,,,5.03,0.28,5.06,0.175,5.04,0.226,,5.05,0.19
,,,,5.04,0.279,5.04,0.27,5.03,0.291,,5.06,0.19
,,,,5.03,0.286,5.03,0.293,5.03,0.294,,5.06,0.172
,,,,5.03,0.283,5.06,0.168,5.03,0.305,,5.06,0.151
,,,,5.03,0.282,5.06,0.157,5.02,0.312,,5.06,0.183
,,,,5.03,0.281,5.03,0.284,5.03,0.281,,5.06,0.19
,,,,5.03,0.274,5.03,0.275,5.03,0.276,,5.06,0.185
,,,,5.03,0.283,5.03,0.279,5.03,0.276,,5.05,0.197
,,,,5.03,0.287,5.03,0.274,5.03,0.279,,5.05,0.198
,,,,5.03,0.274,5.06,0.157,5.03,0.285,,5.05,0.198
,,,,5.03,0.296,5.03,0.287,5.03,0.298,,5.06,0.197
,,,,5.03,0.277,5.03,0.28,5.03,0.292,,5.05,0.193
,,,,5.05,0.191,5.04,0.256,5.03,0.268,,5.05,0.197
,,,,5.03,0.284,5.03,0.292,5.03,0.289,,5.05,0.195
,,,,5.04,0.244,5.03,0.295,5.05,0.174,,5.07,0.152
,,,,5.03,0.275,5.03,0.291,5.03,0.284,,5.07,0.151
,,,,5.03,0.285,5.03,0.28,5.03,0.293,,5.06,0.187
,,,,5.03,0.29,5.03,0.275,5.04,0.26,,5.05,0.199
,,,,5.03,0.281,5.03,0.283,5.05,0.178,,5.05,0.196
,,,,5.04,0.231,5.05,0.194,5.03,0.297,,5.06,0.194
,,,,5.06,0.157,5.03,0.281,5.03,0.28,,5.05,0.198
,,,,5.06,0.157,5.03,0.281,5.03,0.282,,5.06,0.191
,,,,5.03,0.278,5.03,0.278,5.04,0.238,,5.06,0.195
,,,,5.03,0.28,5.05,0.218,5.05,0.191,,5.06,0.167
,,,,5.03,0.285,5.04,0.237,5.02,0.314,,5.06,0.167
,,,,5.03,0.278,5.06,0.158,5.03,0.258,,5.06,0.167
,,,,5.08,0.042,5.06,0.157,5.03,0.3,,5.06,0.167
,,,,5.06,0.157,5.06,0.156,5.04,0.226,,5.06,0.167
,,,,5.06,0.156,5.03,0.289,5.03,0.296,,5.05,0.191
,,,,,,5.03,0.276,5.03,0.296,,5.06,0.188
,,,,,,5.03,0.291,5.05,0.174,,5.06,0.192
,,,,,,5.06,0.158,5.03,0.281,,5.06,0.193
,,,,,,5.06,0.159,5.05,0.173,,5.06,0.188
,,,,,,5.03,0.282,5.05,0.172,,5.05,0.197
,,,,,,5.04,0.24,5.05,0.171,,5.06,0.188
,,,,,,5.04,0.263,5.05,0.171,,5.06,0.195
,,,,,,5.06,0.157,5.05,0.171,,5.06,0.166
,,,,,,5.06,0.157,5.03,0.284,,5.06,0.166
,,,,,,5.06,0.157,5.02,0.306,,5.06,0.166
,,,,,,5.06,0.156,5.05,0.171,,5.06,0.18
,,,,,,5.04,0.239,5.03,0.277,,5.06,0.187
,,,,,,5.03,0.28,5.03,0.265,,5.05,0.198
,,,,,,5.03,0.287,5.02,0.302,,5.06,0.191
,,,,,,5.04,0.241,5.04,0.235,,5.06,0.195
,,,,,,5.03,0.291,5.03,0.249,,5.06,0.188
,,,,,,5.03,0.286,5.03,0.279,,5.05,0.204
,,,,,,5.06,0.157,5.05,0.187,,5.05,0.194
,,,,,,5.06,0.157,5.03,0.282,,5.06,0.189
,,,,,,5.03,0.281,5.03,0.273,,5.06,0.194
,,,,,,5.06,0.158,5.04,0.221,,5.05,0.191
,,,,,,5.06,0.157,5.03,0.293,,5.06,0.187
,,,,,,5.06,0.156,5.03,0.285,,5.05,0.188
,,,,,,5.06,0.156,5.03,0.301,,5.06,0.166
,,,,,,5.06,0.156,5.03,0.282,,5.05,0.194
,,,,,,5.03,0.288,5.03,0.286,,5.05,0.192
,,,,,,5.06,0.157,5.03,0.278,,5.05,0.192
,,,,,,5.06,0.156,5.05,0.202,,5.05,0.189
,,,,,,5.03,0.283,5.04,0.234,,5.05,0.196
,,,,,,5.05,0.213,5.03,0.296,,5.05,0.192
,,,,,,5.05,0.215,5.03,0.283,,5.05,0.19
,,,,,,5.05,0.209,5.04,0.228,,5.05,0.179
,,,,,,5.03,0.282,5.03,0.286,,5.05,0.197
,,,,,,5.03,0.274,5.03,0.281,,5.05,0.192
,,,,,,5.04,0.254,5.03,0.284,,5.05,0.199
,,,,,,5.04,0.231,5.04,0.22,,5.05,0.194
,,,,,,5.03,0.281,5.05,0.177,,5.05,0.196
,,,,,,5.03,0.284,5.05,0.176,,5.05,0.199
,,,,,,5.03,0.288,5.05,0.175,,5.05,0.193
,,,,,,5.03,0.306,5.03,0.301,,5.05,0.194
,,,,,,5.03,0.287,5.04,0.266,,5.05,0.196
,,,,,,5.04,0.254,5.03,0.283,,5.05,0.185
,,,,,,5.04,0.257,5.04,0.229,,5.05,0.198
,,,,,,5.03,0.278,5.02,0.325,,5.05,0.194
,,,,,,5.03,0.272,5.03,0.27,,5.05,0.194
,,,,,,5.03,0.296,5.03,0.269,,5.05,0.196
,,,,,,5.03,0.285,5.03,0.296,,5.05,0.194
,,,,,,5.03,0.286,5.04,0.229,,5.05,0.187
,,,,,,5.03,0.282,5.02,0.311,,5.05,0.195
,,,,,,5.03,0.296,5.05,0.178,,5.05,0.199
,,,,,,5.06,0.158,5.04,0.23,,5.05,0.188
,,,,,,5.06,0.158,5.03,0.282,,5.05,0.197
,,,,,,5.06,0.157,5.05,0.174,,5.05,0.192
,,,,,,5.06,0.157,5.02,0.31,,5.05,0.191
,,,,,,5.03,0.275,5.03,0.291,,5.05,0.194
,,,,,,5.06,0.156,5.03,0.283,,5.05,0.19
,,,,,,5.04,0.243,5.04,0.267,,5.05,0.197
,,,,,,5.03,0.29,5.03,0.284,,5.05,0.191
,,,,,,5.04,0.273,5.03,0.279,,5.05,0.192
,,,,,,5.05,0.198,5.03,0.298,,5.05,0.192
,,,,,,5.03,0.305,5.03,0.288,,5.05,0.19
,,,,,,5.03,0.286,5.03,0.297,,5.05,0.192
,,,,,,5.02,0.304,5.05,0.208,,5.05,0.195
