NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],BasePWR [W],IdlePWR [W],FullPwr [W],GOPS,PruningFactor,level,hw_quant_prun
MLP,NCS,FP16,na,16,8.64809,476.212,1850.12,0.25453600000000004,0.9888879999999999,98.49,,0.53,1.2,1.8159999999999998,,25%,l3,NCS_FP16_25%
MLP,NCS,FP16,na,32,16.1099,484.102,1986.35,0.258753,1.06171,98.49,,0.53,1.2,1.835,,25%,l3,NCS_FP16_25%
MLP,NCS,FP16,na,64,30.1685,494.267,2121.42,0.26418600000000003,1.1339,98.49,,0.53,1.2,1.837,,25%,l3,NCS_FP16_25%
MLP,NCS,FP16,na,128,58.2507,498.496,2197.4,0.266446,1.17451,98.49,,0.53,1.2,1.8769999999999998,,25%,l3,NCS_FP16_25%
MLP,GPU,FP16,maxp,1,0.27819099999999997,1750.43,3848.74,0.9356030000000001,2.05715,97.44,,1.8,4.7,7.334,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,2,0.25973,2820.94,8504.14,1.50779,4.54546,97.44,,1.8,4.7,7.364,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,4,0.287484,3792.59,15125.3,2.02714,8.084489999999999,97.44,,1.8,4.7,7.284,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,8,0.307859,4697.25,29380.5,2.51068,15.7039,97.44,,1.8,4.7,8.149,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,16,0.363625,5171.72,56844.7,2.76428,30.3835,97.44,,1.8,4.7,8.354,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,32,0.5263439999999999,5919.08,115863.0,3.16375,61.9289,97.44,,1.8,4.7,8.161,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,64,0.661312,5988.3,145166.0,3.20075,77.5911,97.44,,1.8,4.7,8.74,,25%,l3,GPU_FP16_25%
MLP,GPU,FP16,maxp,128,0.800375,6243.9,220832.0,3.3373699999999995,118.035,97.44,,1.8,4.7,8.066,,25%,l3,GPU_FP16_25%
MLP,GPU,FP32,maxp,1,0.22253,1980.66,4836.44,1.05866,2.58508,97.44,,1.8,4.7,8.068,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,2,0.22756300000000002,2968.12,9610.87,1.58646,5.13701,97.44,,1.8,4.7,7.972,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,4,0.23529299999999997,4063.49,18903.8,2.17194,10.1041,97.44,,1.8,4.7,8.158,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,8,0.28231300000000004,4923.08,29516.0,2.63138,15.7763,97.44,,1.8,4.7,8.505,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,16,0.514938,5120.0,56496.6,2.73664,30.1974,97.44,,1.8,4.7,8.612,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,32,0.532937,5688.89,105938.0,3.04071,56.623999999999995,97.44,,1.8,4.7,8.547,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,64,0.692438,5953.49,134489.0,3.18214,71.8844,97.44,,1.8,4.7,8.318,,25%,l3,GPU_FP32_25%
MLP,GPU,FP32,maxp,128,0.872125,6168.67,193866.0,3.29716,103.62100000000001,97.44,,1.8,4.7,9.199,,25%,l3,GPU_FP32_25%
MLP,ZCU104-FINN,INT4,,1,0.005,,200000.0,,,98.29,,9.2,14.2,14.4225,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,2,0.008,,285714.286,,,98.29,,9.2,14.2,14.3275,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,4,0.012,,400000.0,,,98.29,,9.2,14.2,14.325,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,8,0.016,,470588.235,,,98.29,,9.2,14.2,14.32,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,16,0.032,,533333.333,,,98.29,,9.2,14.2,14.3525,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,32,0.064,,561403.509,,,98.29,,9.2,14.2,14.335,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,64,0.128,,576576.577,,,98.29,,9.2,14.2,14.415,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,128,0.256,,589861.751,,,98.29,,9.2,14.2,14.4675,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,256,0.512,,595348.837,,,98.29,,9.2,14.2,14.53,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT4,,512,1.024,,598130.841,,,98.29,,9.2,14.2,14.595,,25%,l3,ZCU104-FINN_INT4_25%
MLP,ZCU104-FINN,INT2,,1,0.002,,500000.0,,,98.04,,9.2,13.86,14.13,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-FINN,INT2,,2,0.003,,666666.667,,,98.04,,9.2,13.86,14.01,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-FINN,INT2,,4,0.004,,1000000.0,,,98.04,,9.2,13.86,13.98,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-FINN,INT2,,8,0.006999999999999999,,1142857.143,,,98.04,,9.2,13.86,14.0225,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-FINN,INT2,,16,0.01,,1600000.0,,,98.04,,9.2,13.86,14.06,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-FINN,INT2,,32,0.019,,1684210.5259999998,,,98.04,,9.2,13.86,14.065,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-FINN,INT2,,64,0.036000000000000004,,1777777.7780000002,,,98.04,,9.2,13.86,14.005,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-FINN,INT2,,128,0.068,,1882352.9409999999,,,98.04,,9.2,13.86,14.1025,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-FINN,INT2,,256,0.134,,1910447.761,,,98.04,,9.2,13.86,14.145,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-FINN,INT2,,512,0.265,,1932075.4719999998,,,98.04,,9.2,13.86,14.1825,,25%,l3,ZCU104-FINN_INT2_25%
MLP,ZCU104-Bismo,INT4,,2,0.48889,,4090.89979340956,,,98.29,,9.2,14.3,15.35,,25%,l3,ZCU104-Bismo_INT4_25%
MLP,ZCU104-Bismo,INT4,,4,0.7339663000000001,,5449.84149817233,,,98.29,,9.2,14.3,15.375,,25%,l3,ZCU104-Bismo_INT4_25%
MLP,ZCU104-Bismo,INT4,,8,1.2429795,,6436.14798152343,,,98.29,,9.2,14.3,15.225,,25%,l3,ZCU104-Bismo_INT4_25%
MLP,ZCU104-Bismo,INT4,,16,2.2570382999999996,,7088.935974192371,,,98.29,,9.2,14.3,15.325,,25%,l3,ZCU104-Bismo_INT4_25%
MLP,ZCU104-Bismo,INT4,,32,4.331067,,7388.47955942496,,,98.29,,9.2,14.3,15.4,,25%,l3,ZCU104-Bismo_INT4_25%
MLP,ZCU104-Bismo,INT4,,64,8.464694,,7560.81672887407,,,98.29,,9.2,14.3,15.375,,25%,l3,ZCU104-Bismo_INT4_25%
MLP,ZCU104-Bismo,INT4,,128,16.747152,,7643.09059832979,,,98.29,,9.2,14.3,15.55,,25%,l3,ZCU104-Bismo_INT4_25%
MLP,ZCU104-Bismo,INT2,,2,0.3788816,,5278.693924434439,,,98.04,,9.2,14.3,15.35,,25%,l3,ZCU104-Bismo_INT2_25%
MLP,ZCU104-Bismo,INT2,,4,0.5110979999999999,,7826.287717815369,,,98.04,,9.2,14.3,15.325,,25%,l3,ZCU104-Bismo_INT2_25%
MLP,ZCU104-Bismo,INT2,,8,0.7839515,,10204.7129191028,,,98.04,,9.2,14.3,15.275,,25%,l3,ZCU104-Bismo_INT2_25%
MLP,ZCU104-Bismo,INT2,,16,1.3468305,,11879.742848116399,,,98.04,,9.2,14.3,15.4,,25%,l3,ZCU104-Bismo_INT2_25%
MLP,ZCU104-Bismo,INT2,,32,2.4488868999999998,,13067.1612478306,,,98.04,,9.2,14.3,15.375,,25%,l3,ZCU104-Bismo_INT2_25%
MLP,ZCU104-Bismo,INT2,,64,4.6817269999999995,,13670.1691491195,,,98.04,,9.2,14.3,15.325,,25%,l3,ZCU104-Bismo_INT2_25%
MLP,ZCU104-Bismo,INT2,,128,9.032107,,14171.6655925356,,,98.04,,9.2,14.3,15.225,,25%,l3,ZCU104-Bismo_INT2_25%
MLP,U96-Quadcore A53,INT4,,2,7.827999999999999,,255.493101686254,,,98.29,,9.2,14.3,15.348214285714299,,25%,l3,U96-Quadcore A53_INT4_25%
MLP,U96-Quadcore A53,INT4,,4,7.848,,509.683995922528,,,98.29,,9.2,14.3,15.3480867346939,,25%,l3,U96-Quadcore A53_INT4_25%
MLP,U96-Quadcore A53,INT4,,8,7.853,,1018.71896090666,,,98.29,,9.2,14.3,15.3461643586006,,25%,l3,U96-Quadcore A53_INT4_25%
MLP,U96-Quadcore A53,INT4,,16,10.062999999999999,,1589.9831064294901,,,98.29,,9.2,14.3,15.354818955643498,,25%,l3,U96-Quadcore A53_INT4_25%
MLP,U96-Quadcore A53,INT4,,32,14.395,,2222.9940951719395,,,98.29,,9.2,14.3,15.3569488810466,,25%,l3,U96-Quadcore A53_INT4_25%
MLP,U96-Quadcore A53,INT4,,64,23.355,,2740.31256690216,,,98.29,,9.2,14.3,15.353873801121301,,25%,l3,U96-Quadcore A53_INT4_25%
MLP,U96-Quadcore A53,INT4,,128,41.156000000000006,,3110.1176013218,,,98.29,,9.2,14.3,15.352364786915699,,25%,l3,U96-Quadcore A53_INT4_25%
MLP,U96-Quadcore A53,INT2,,2,7.754,,257.931390250193,,,98.04,,9.2,14.3,15.3382479859811,,25%,l3,U96-Quadcore A53_INT2_25%
MLP,U96-Quadcore A53,INT2,,4,7.841,,510.13901288101,,,98.04,,9.2,14.3,15.3374085564084,,25%,l3,U96-Quadcore A53_INT2_25%
MLP,U96-Quadcore A53,INT2,,8,7.85,,1019.1082802547801,,,98.04,,9.2,14.3,15.3382948818661,,25%,l3,U96-Quadcore A53_INT2_25%
MLP,U96-Quadcore A53,INT2,,16,10.115,,1581.80919426594,,,98.04,,9.2,14.3,15.3428159448565,,25%,l3,U96-Quadcore A53_INT2_25%
MLP,U96-Quadcore A53,INT2,,32,14.387,,2224.23020782651,,,98.04,,9.2,14.3,15.3387313694891,,25%,l3,U96-Quadcore A53_INT2_25%
MLP,U96-Quadcore A53,INT2,,64,23.176,,2761.47739040387,,,98.04,,9.2,14.3,15.336140753024099,,25%,l3,U96-Quadcore A53_INT2_25%
MLP,U96-Quadcore A53,INT2,,128,41.228,,3104.68613563598,,,98.04,,9.2,14.3,15.3369365210972,,25%,l3,U96-Quadcore A53_INT2_25%
MLP,NCS,FP16,na,1,1.6157,316.199,618.928,0.0430663,0.084298,97.95,,0.53,1.2,1.548,,12.5%,l3,NCS_FP16_12.5%
MLP,NCS,FP16,na,2,1.9723,393.474,1014.05,0.05359119999999999,0.138113,97.95,,0.53,1.2,1.6280000000000001,,12.5%,l3,NCS_FP16_12.5%
MLP,NCS,FP16,na,4,2.67093,450.727,1497.6,0.061389,0.203974,97.95,,0.53,1.2,1.67,,12.5%,l3,NCS_FP16_12.5%
MLP,NCS,FP16,na,8,4.18684,486.767,1910.75,0.0662977,0.26024400000000003,97.95,,0.53,1.2,1.699,,12.5%,l3,NCS_FP16_12.5%
MLP,NCS,FP16,na,16,7.118469999999999,503.27,2247.67,0.06854539999999999,0.306133,97.95,,0.53,1.2,1.7109999999999999,,12.5%,l3,NCS_FP16_12.5%
MLP,NCS,FP16,na,32,12.9453,515.686,2471.93,0.07023650000000001,0.336677,97.95,,0.53,1.2,1.735,,12.5%,l3,NCS_FP16_12.5%
MLP,NCS,FP16,na,64,24.0058,520.318,2666.02,0.0708672,0.363112,97.95,,0.53,1.2,1.719,,12.5%,l3,NCS_FP16_12.5%
MLP,NCS,FP16,na,128,45.7766,526.317,2796.19,0.0716844,0.380841,97.95,,0.53,1.2,1.764,,12.5%,l3,NCS_FP16_12.5%
MLP,GPU,FP16,maxp,1,0.27808,1759.45,3864.97,0.239637,0.526409,97.15,,1.8,4.7,6.6610000000000005,,12.5%,l3,GPU_FP16_12.5%
MLP,GPU,FP16,maxp,2,0.285041,2716.18,7639.51,0.369944,1.0405,97.15,,1.8,4.7,6.51,,12.5%,l3,GPU_FP16_12.5%
MLP,GPU,FP16,maxp,4,0.290605,3849.62,15091.2,0.524319,2.0554200000000002,97.15,,1.8,4.7,6.643,,12.5%,l3,GPU_FP16_12.5%
MLP,GPU,FP16,maxp,8,0.306844,4785.05,29828.1,0.6517229999999999,4.06259,97.15,,1.8,4.7,7.353,,12.5%,l3,GPU_FP16_12.5%
MLP,GPU,FP16,maxp,16,0.34270300000000004,5657.46,71794.2,0.770546,9.778360000000001,97.15,,1.8,4.7,7.652,,12.5%,l3,GPU_FP16_12.5%
MLP,GPU,FP16,maxp,32,0.31725,6023.53,121789.0,0.8204049999999999,16.5876,97.15,,1.8,4.7,7.542999999999999,,12.5%,l3,GPU_FP16_12.5%
MLP,GPU,FP16,maxp,64,0.463625,6206.06,192120.0,0.8452649999999999,26.1668,97.15,,1.8,4.7,7.886,,12.5%,l3,GPU_FP16_12.5%
MLP,GPU,FP16,maxp,128,0.66525,6360.25,278034.0,0.866266,37.8683,97.15,,1.8,4.7,8.382,,12.5%,l3,GPU_FP16_12.5%
MLP,GPU,FP32,maxp,1,0.216087,2019.72,4963.28,0.275086,0.675999,97.15,,1.8,4.7,7.4110000000000005,,12.5%,l3,GPU_FP32_12.5%
MLP,GPU,FP32,maxp,2,0.28781799999999996,3002.93,9745.51,0.408999,1.32734,97.15,,1.8,4.7,7.265,,12.5%,l3,GPU_FP32_12.5%
MLP,GPU,FP32,maxp,4,0.36945700000000004,4129.03,19384.0,0.5623739999999999,2.6401,97.15,,1.8,4.7,7.309,,12.5%,l3,GPU_FP32_12.5%
MLP,GPU,FP32,maxp,8,0.23718699999999998,5019.61,36867.7,0.683671,5.021380000000001,97.15,,1.8,4.7,7.732,,12.5%,l3,GPU_FP32_12.5%
MLP,GPU,FP32,maxp,16,0.410703,5688.89,72480.2,0.774827,9.8718,97.15,,1.8,4.7,7.861000000000001,,12.5%,l3,GPU_FP32_12.5%
MLP,GPU,FP32,maxp,32,0.45315600000000006,5851.43,140466.0,0.7969649999999999,19.1315,97.15,,1.8,4.7,7.7589999999999995,,12.5%,l3,GPU_FP32_12.5%
MLP,GPU,FP32,maxp,64,0.591562,6095.24,173530.0,0.8301709999999999,23.6348,97.15,,1.8,4.7,7.935,,12.5%,l3,GPU_FP32_12.5%
MLP,GPU,FP32,maxp,128,0.68425,6320.99,264873.0,0.8609190000000001,36.0757,97.15,,1.8,4.7,8.31,,12.5%,l3,GPU_FP32_12.5%
MLP,ZCU104-FINN,INT4,,1,0.003,,333333.33,,,97.54,,9.2,14.2,14.65,,12.5%,l3,ZCU104-FINN_INT4_12.5%
MLP,ZCU104-FINN,INT4,,2,0.004,,500000.0,,,97.54,,9.2,14.2,14.65,,12.5%,l3,ZCU104-FINN_INT4_12.5%
MLP,ZCU104-FINN,INT4,,4,0.006,,666666.67,,,97.54,,9.2,14.2,14.65,,12.5%,l3,ZCU104-FINN_INT4_12.5%
MLP,ZCU104-FINN,INT4,,8,0.009000000000000001,,888888.89,,,97.54,,9.2,14.2,14.65,,12.5%,l3,ZCU104-FINN_INT4_12.5%
MLP,ZCU104-FINN,INT4,,16,0.016,,1000000.0,,,97.54,,9.2,14.2,14.65,,12.5%,l3,ZCU104-FINN_INT4_12.5%
MLP,ZCU104-FINN,INT4,,32,0.028999999999999998,,1103448.28,,,97.54,,9.2,14.2,14.65,,12.5%,l3,ZCU104-FINN_INT4_12.5%
MLP,ZCU104-FINN,INT4,,64,0.055,,1163636.36,,,97.54,,9.2,14.2,14.65,,12.5%,l3,ZCU104-FINN_INT4_12.5%
MLP,ZCU104-FINN,INT4,,128,0.109,,1174311.93,,,97.54,,9.2,14.2,14.65,,12.5%,l3,ZCU104-FINN_INT4_12.5%
MLP,ZCU104-FINN,INT4,,256,0.21600000000000003,,1185185.19,,,97.54,,9.2,14.2,14.65,,12.5%,l3,ZCU104-FINN_INT4_12.5%
MLP,ZCU104-FINN,INT4,,512,0.429,,1193473.19,,,97.54,,9.2,14.2,14.65,,12.5%,l3,ZCU104-FINN_INT4_12.5%
MLP,ZCU104-FINN,INT2,,1,0.002,,1000000.0,,,96.85,,9.2,13.85,14.1825,,12.5%,l3,ZCU104-FINN_INT2_12.5%
MLP,ZCU104-FINN,INT2,,2,0.002,,1000000.0,,,96.85,,9.2,13.85,14.0675,,12.5%,l3,ZCU104-FINN_INT2_12.5%
MLP,ZCU104-FINN,INT2,,4,0.003,,1333333.3329999999,,,96.85,,9.2,13.85,14.1,,12.5%,l3,ZCU104-FINN_INT2_12.5%
MLP,ZCU104-FINN,INT2,,8,0.004,,2000000.0,,,96.85,,9.2,13.85,14.02,,12.5%,l3,ZCU104-FINN_INT2_12.5%
MLP,ZCU104-FINN,INT2,,16,0.006,,2666666.667,,,96.85,,9.2,13.85,14.06,,12.5%,l3,ZCU104-FINN_INT2_12.5%
MLP,ZCU104-FINN,INT2,,32,0.01,,3200000.0,,,96.85,,9.2,13.85,14.0,,12.5%,l3,ZCU104-FINN_INT2_12.5%
MLP,ZCU104-FINN,INT2,,64,0.019,,3368421.0530000003,,,96.85,,9.2,13.85,14.045,,12.5%,l3,ZCU104-FINN_INT2_12.5%
MLP,ZCU104-FINN,INT2,,128,0.035,,3657142.857,,,96.85,,9.2,13.85,14.055,,12.5%,l3,ZCU104-FINN_INT2_12.5%
MLP,ZCU104-FINN,INT2,,256,0.068,,3764705.8819999998,,,96.85,,9.2,13.85,14.075,,12.5%,l3,ZCU104-FINN_INT2_12.5%
MLP,ZCU104-FINN,INT2,,512,0.133,,3849624.06,,,96.85,,9.2,13.85,14.12,,12.5%,l3,ZCU104-FINN_INT2_12.5%
MLP,ZCU104-Bismo,INT4,,2,0.221656,,9022.99057999783,,,97.54,,9.2,14.3,15.375,,12.5%,l3,ZCU104-Bismo_INT4_12.5%
MLP,ZCU104-Bismo,INT4,,4,0.3263472,,12256.8846921316,,,97.54,,9.2,14.3,15.35,,12.5%,l3,ZCU104-Bismo_INT4_12.5%
MLP,ZCU104-Bismo,INT4,,8,0.5192422999999999,,15407.065256432299,,,97.54,,9.2,14.3,15.25,,12.5%,l3,ZCU104-Bismo_INT4_12.5%
MLP,ZCU104-Bismo,INT4,,16,0.9281510000000001,,17238.574326806698,,,97.54,,9.2,14.3,15.775,,12.5%,l3,ZCU104-Bismo_INT4_12.5%
MLP,ZCU104-Bismo,INT4,,32,1.7796005000000001,,17981.5638397494,,,97.54,,9.2,14.3,15.425,,12.5%,l3,ZCU104-Bismo_INT4_12.5%
MLP,ZCU104-Bismo,INT4,,64,3.351983,,19093.175591881,,,97.54,,9.2,14.3,15.4,,12.5%,l3,ZCU104-Bismo_INT4_12.5%
MLP,ZCU104-Bismo,INT4,,128,6.721276,,19044.002954201,,,97.54,,9.2,14.3,15.4,,12.5%,l3,ZCU104-Bismo_INT4_12.5%
MLP,ZCU104-Bismo,INT2,,2,0.1777432,,11252.188550673101,,,96.85,,9.2,14.3,15.375,,12.5%,l3,ZCU104-Bismo_INT2_12.5%
MLP,ZCU104-Bismo,INT2,,4,0.2372716,,16858.3176410493,,,96.85,,9.2,14.3,15.4,,12.5%,l3,ZCU104-Bismo_INT2_12.5%
MLP,ZCU104-Bismo,INT2,,8,0.3524921,,22695.544098718798,,,96.85,,9.2,14.3,15.35,,12.5%,l3,ZCU104-Bismo_INT2_12.5%
MLP,ZCU104-Bismo,INT2,,16,0.5881343000000001,,27204.6707699245,,,96.85,,9.2,14.3,15.375,,12.5%,l3,ZCU104-Bismo_INT2_12.5%
MLP,ZCU104-Bismo,INT2,,32,1.0490677,,30503.274478853902,,,96.85,,9.2,14.3,15.4,,12.5%,l3,ZCU104-Bismo_INT2_12.5%
MLP,ZCU104-Bismo,INT2,,64,1.9529131000000002,,32771.5554778141,,,96.85,,9.2,14.3,15.375,,12.5%,l3,ZCU104-Bismo_INT2_12.5%
MLP,ZCU104-Bismo,INT2,,128,3.816102,,33542.0803741619,,,96.85,,9.2,14.3,15.4,,12.5%,l3,ZCU104-Bismo_INT2_12.5%
MLP,U96-Quadcore A53,INT4,,2,2.536,,788.643533123028,,,97.54,,9.2,14.3,15.4035714285714,,12.5%,l3,U96-Quadcore A53_INT4_12.5%
MLP,U96-Quadcore A53,INT4,,4,2.555,,1565.55772994129,,,97.54,,9.2,14.3,15.405612244898,,12.5%,l3,U96-Quadcore A53_INT4_12.5%
MLP,U96-Quadcore A53,INT4,,8,2.608,,3067.48466257669,,,97.54,,9.2,14.3,15.409584548104998,,12.5%,l3,U96-Quadcore A53_INT4_12.5%
MLP,U96-Quadcore A53,INT4,,16,3.405,,4698.97209985316,,,97.54,,9.2,14.3,15.420983444398198,,12.5%,l3,U96-Quadcore A53_INT4_12.5%
MLP,U96-Quadcore A53,INT4,,32,5.066,,6316.62060797473,,,97.54,,9.2,14.3,15.395696547569498,,12.5%,l3,U96-Quadcore A53_INT4_12.5%
MLP,U96-Quadcore A53,INT4,,64,8.577,,7461.8164859508,,,97.54,,9.2,14.3,15.3936034438244,,12.5%,l3,U96-Quadcore A53_INT4_12.5%
MLP,U96-Quadcore A53,INT4,,128,14.995999999999999,,8535.60949586556,,,97.54,,9.2,14.3,15.393146546954698,,12.5%,l3,U96-Quadcore A53_INT4_12.5%
MLP,U96-Quadcore A53,INT2,,2,2.5989999999999998,,769.526741054252,,,96.85,,9.2,14.3,15.3926570145944,,12.5%,l3,U96-Quadcore A53_INT2_12.5%
MLP,U96-Quadcore A53,INT2,,4,2.577,,1552.19247186651,,,96.85,,9.2,14.3,15.3939182299225,,12.5%,l3,U96-Quadcore A53_INT2_12.5%
MLP,U96-Quadcore A53,INT2,,8,2.5660000000000003,,3117.69290724864,,,96.85,,9.2,14.3,15.3934838177741,,12.5%,l3,U96-Quadcore A53_INT2_12.5%
MLP,U96-Quadcore A53,INT2,,16,3.458,,4626.95199537305,,,96.85,,9.2,14.3,15.396589804758001,,12.5%,l3,U96-Quadcore A53_INT2_12.5%
MLP,U96-Quadcore A53,INT2,,32,5.027,,6365.62562164313,,,96.85,,9.2,14.3,15.3981319336693,,12.5%,l3,U96-Quadcore A53_INT2_12.5%
MLP,U96-Quadcore A53,INT2,,64,8.325,,7687.68768768769,,,96.85,,9.2,14.3,15.39799850036,,12.5%,l3,U96-Quadcore A53_INT2_12.5%
MLP,U96-Quadcore A53,INT2,,128,15.07,,8493.696084936959,,,96.85,,9.2,14.3,15.399641250385699,,12.5%,l3,U96-Quadcore A53_INT2_12.5%
